51,select * from zooNoSpec where objid=#
2019-10-28 06:36:00,1
2019-10-28 07:26:00,1
2019-10-28 07:30:00,1
2019-10-28 07:50:00,1
2019-10-28 08:35:00,1
2019-10-28 08:42:00,1
2019-10-28 08:48:00,1
2019-10-28 08:51:00,1
2019-10-28 08:54:00,1
2019-10-28 08:59:00,1
2019-10-28 09:03:00,1
2019-10-28 09:28:00,1
2019-10-28 10:26:00,1
2019-10-28 11:03:00,1
2019-10-28 11:21:00,1
2019-10-28 11:33:00,1
2019-10-28 11:40:00,1
2019-10-28 11:51:00,1
2019-10-28 12:18:00,1
2019-10-28 12:47:00,1
2019-10-28 13:20:00,2
2019-10-28 13:36:00,1
2019-10-28 13:59:00,1
2019-10-28 14:31:00,1
2019-10-28 15:49:00,1
2019-10-28 15:52:00,1
2019-10-28 16:03:00,1
2019-10-28 16:18:00,1
2019-10-28 17:42:00,1
2019-10-28 17:58:00,1
2019-10-28 18:03:00,1
2019-10-28 18:17:00,1
2019-10-28 18:20:00,1
2019-10-28 18:39:00,1
2019-10-28 18:49:00,1
2019-10-28 19:15:00,1
2019-10-28 19:44:00,1
2019-10-28 19:53:00,1
2019-10-28 20:47:00,1
2019-10-28 21:02:00,1
2019-10-28 21:03:00,1
2019-10-28 21:13:00,1
2019-10-28 21:37:00,1
2019-10-28 21:47:00,1
2019-10-28 21:49:00,1
2019-10-28 22:01:00,2
2019-10-28 22:09:00,1
2019-10-28 22:57:00,1
2019-10-28 23:02:00,1
