29,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-10-28 03:23:00,1
2019-10-28 03:24:00,1
2019-10-28 03:28:00,2
2019-10-28 03:29:00,4
2019-10-28 03:30:00,3
2019-10-28 04:07:00,2
2019-10-28 04:08:00,1
2019-10-28 04:13:00,1
2019-10-28 04:14:00,2
2019-10-28 04:15:00,2
2019-10-28 04:17:00,1
2019-10-28 05:18:00,1
2019-10-28 05:19:00,1
2019-10-28 05:20:00,1
2019-10-28 05:21:00,2
2019-10-28 05:23:00,1
2019-10-28 05:25:00,1
2019-10-28 05:27:00,1
2019-10-28 05:48:00,1
