2,"select top # p.objid, p.ra, p.dec, p.l, p.b, p.u, p.g, p.r, p.i, p.z, s.z as redshift from star p, specobj s where p.objid=s.bestobjid"
2019-10-13 15:59:00,1
2019-10-13 16:00:00,1
