13,"select cat1=run1, cat2=run2, arcsec, cts=sum(cts)      from astrometry.budavari.Stripe8#Match0#Stars1#k2#Run2k      where run1 in (#,#,#,#,#) and run2 in (#,#,#,#,#)         and row1 in (#,#,#,#) and row2 in (#,#,#,#)         and col1 in (#,#,#,#) and col2 in (#,#,#,#)         and mag in (#,#,#,#,#,#,#,#,#,#,#)      group by run1, run2, arcsec      order by run1, run2, arcsec"
2019-10-13 19:11:00,2
2019-10-13 19:15:00,1
2019-10-13 19:16:00,2
2019-10-13 19:18:00,2
2019-10-13 19:34:00,1
2019-10-13 19:38:00,1
2019-10-13 19:39:00,1
2019-10-13 19:40:00,1
2019-10-13 19:41:00,1
2019-10-13 19:42:00,1
