2,"SELECT p.objid, p.ra, p.dec into mydb.MyOutTable from PhotoObjAll AS p, MyDB.bobTable as t, dbo.fGetNearbyObjEq(t.RA,t.Dec,#) as N WHERE n.objID = p.objID AND p.type=star&&&"
2019-12-28 12:59:00,1
2019-12-28 13:57:00,1
