130,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-12-28 06:00:00,2
2019-12-28 06:01:00,4
2019-12-28 06:02:00,1
2019-12-28 06:16:00,1
2019-12-28 06:17:00,2
2019-12-28 06:18:00,3
2019-12-28 06:19:00,3
2019-12-28 06:20:00,3
2019-12-28 06:21:00,3
2019-12-28 06:22:00,4
2019-12-28 06:23:00,3
2019-12-28 06:24:00,3
2019-12-28 06:25:00,3
2019-12-28 06:26:00,3
2019-12-28 06:27:00,3
2019-12-28 06:28:00,3
2019-12-28 06:29:00,4
2019-12-28 06:30:00,3
2019-12-28 06:31:00,3
2019-12-28 06:32:00,3
2019-12-28 06:33:00,3
2019-12-28 06:34:00,3
2019-12-28 06:35:00,3
2019-12-28 06:36:00,3
2019-12-28 06:37:00,3
2019-12-28 06:38:00,3
2019-12-28 06:39:00,3
2019-12-28 06:40:00,3
2019-12-28 06:41:00,3
2019-12-28 06:42:00,3
2019-12-28 06:43:00,3
2019-12-28 06:44:00,3
2019-12-28 06:45:00,3
2019-12-28 06:46:00,3
2019-12-28 06:47:00,3
2019-12-28 06:48:00,4
2019-12-28 06:49:00,3
2019-12-28 06:50:00,3
2019-12-28 06:51:00,4
2019-12-28 06:52:00,3
2019-12-28 06:53:00,4
2019-12-28 06:54:00,3
2019-12-28 06:55:00,1
2019-12-28 06:56:00,1
2019-12-28 07:09:00,1
2019-12-28 07:15:00,1
