5,"select top # SpecPhotoAll.ra,SpecPhotoAll.dec,SpecPhotoAll.subclass from SpecPhotoAll,Specobjall where SpecPhotoAll.specObjID = specobjAll.specObjID    and SpecPhotoAll.dec > # and SpecPhotoAll.dec < # and specphotoall.ra<#"
2019-12-28 08:01:00,4
2019-12-28 08:02:00,1
