429,select * from PhotozRF where objid=#
2019-12-06 00:04:00,2
2019-12-06 00:08:00,1
2019-12-06 00:14:00,1
2019-12-06 00:17:00,1
2019-12-06 00:18:00,1
2019-12-06 00:20:00,2
2019-12-06 00:26:00,1
2019-12-06 00:28:00,1
2019-12-06 00:46:00,1
2019-12-06 00:49:00,2
2019-12-06 00:51:00,1
2019-12-06 00:56:00,1
2019-12-06 00:58:00,1
2019-12-06 01:10:00,1
2019-12-06 01:18:00,1
2019-12-06 01:36:00,1
2019-12-06 01:41:00,2
2019-12-06 01:42:00,1
2019-12-06 01:44:00,1
2019-12-06 01:45:00,2
2019-12-06 01:49:00,1
2019-12-06 02:03:00,1
2019-12-06 02:08:00,1
2019-12-06 02:10:00,1
2019-12-06 02:14:00,1
2019-12-06 02:24:00,1
2019-12-06 02:28:00,1
2019-12-06 02:29:00,1
2019-12-06 02:30:00,1
2019-12-06 02:40:00,1
2019-12-06 02:44:00,3
2019-12-06 02:47:00,1
2019-12-06 02:49:00,1
2019-12-06 02:54:00,1
2019-12-06 03:03:00,1
2019-12-06 03:18:00,1
2019-12-06 03:20:00,3
2019-12-06 03:24:00,1
2019-12-06 03:27:00,1
2019-12-06 03:37:00,1
2019-12-06 03:40:00,1
2019-12-06 03:58:00,1
2019-12-06 04:00:00,1
2019-12-06 04:03:00,1
2019-12-06 04:06:00,1
2019-12-06 04:08:00,1
2019-12-06 04:11:00,1
2019-12-06 04:15:00,1
2019-12-06 04:22:00,1
2019-12-06 04:28:00,1
2019-12-06 04:38:00,1
2019-12-06 04:39:00,1
2019-12-06 04:41:00,1
2019-12-06 04:42:00,1
2019-12-06 04:44:00,2
2019-12-06 04:47:00,1
2019-12-06 04:51:00,1
2019-12-06 04:52:00,1
2019-12-06 04:54:00,1
2019-12-06 04:58:00,1
2019-12-06 05:01:00,1
2019-12-06 05:02:00,1
2019-12-06 05:07:00,1
2019-12-06 05:10:00,1
2019-12-06 05:14:00,7
2019-12-06 05:16:00,1
2019-12-06 05:22:00,1
