8506,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-12-06 13:46:00,34
2019-12-06 13:47:00,244
2019-12-06 13:53:00,153
2019-12-06 13:54:00,165
2019-12-06 14:02:00,51
2019-12-06 14:03:00,212
2019-12-06 14:05:00,213
2019-12-06 14:06:00,142
2019-12-06 14:07:00,155
2019-12-06 14:08:00,105
2019-12-06 14:09:00,110
2019-12-06 14:11:00,8
2019-12-06 14:12:00,125
2019-12-06 14:17:00,29
2019-12-06 14:18:00,367
2019-12-06 14:19:00,133
2019-12-06 14:22:00,321
2019-12-06 14:23:00,112
2019-12-06 14:29:00,244
2019-12-06 14:30:00,125
2019-12-06 14:47:00,84
2019-12-06 14:49:00,238
2019-12-06 14:50:00,41
2019-12-06 15:00:00,30
2019-12-06 15:01:00,535
2019-12-06 15:02:00,547
2019-12-06 15:03:00,438
2019-12-06 15:17:00,175
2019-12-06 15:51:00,220
2019-12-06 15:52:00,421
2019-12-06 15:53:00,67
2019-12-06 16:20:00,14
2019-12-06 16:21:00,438
2019-12-06 16:35:00,528
2019-12-06 16:36:00,30
2019-12-06 16:39:00,261
2019-12-06 16:40:00,102
2019-12-06 16:54:00,227
2019-12-06 17:11:00,132
2019-12-06 17:12:00,268
2019-12-06 17:28:00,338
2019-12-06 17:30:00,324
