92,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-12-06 01:09:00,2
2019-12-06 01:10:00,2
2019-12-06 01:11:00,1
2019-12-06 01:12:00,3
2019-12-06 01:13:00,4
2019-12-06 01:14:00,3
2019-12-06 01:15:00,1
2019-12-06 01:16:00,4
2019-12-06 01:18:00,4
2019-12-06 01:19:00,4
2019-12-06 01:21:00,3
2019-12-06 01:22:00,1
2019-12-06 01:23:00,4
2019-12-06 01:24:00,2
2019-12-06 01:25:00,2
2019-12-06 01:27:00,4
2019-12-06 01:28:00,4
2019-12-06 01:29:00,4
2019-12-06 01:30:00,1
2019-12-06 01:31:00,3
2019-12-06 01:32:00,4
2019-12-06 01:33:00,4
2019-12-06 01:34:00,3
2019-12-06 01:35:00,2
2019-12-06 01:36:00,3
2019-12-06 01:37:00,4
2019-12-06 01:38:00,4
2019-12-06 18:17:00,4
2019-12-06 18:18:00,4
2019-12-06 18:19:00,4
