18,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap order by [tableName],[indexMapId]"
2019-12-06 00:03:00,1
2019-12-06 06:22:00,1
2019-12-06 07:29:00,1
2019-12-06 07:31:00,1
2019-12-06 07:38:00,2
2019-12-06 08:59:00,1
2019-12-06 10:18:00,1
2019-12-06 11:36:00,1
2019-12-06 15:42:00,1
2019-12-06 16:04:00,1
2019-12-06 17:10:00,1
2019-12-06 17:20:00,1
2019-12-06 17:21:00,1
2019-12-06 20:37:00,1
2019-12-06 21:24:00,1
2019-12-06 21:48:00,1
2019-12-06 22:25:00,1
