23,select * from stellarMassFSPSGranWideNoDust where specObjId=#
2019-12-06 00:35:00,1
2019-12-06 02:07:00,1
2019-12-06 04:43:00,1
2019-12-06 07:16:00,1
2019-12-06 07:36:00,1
2019-12-06 09:01:00,1
2019-12-06 09:19:00,1
2019-12-06 11:02:00,1
2019-12-06 11:24:00,1
2019-12-06 12:26:00,1
2019-12-06 12:30:00,1
2019-12-06 12:32:00,1
2019-12-06 13:40:00,1
2019-12-06 14:36:00,1
2019-12-06 15:13:00,1
2019-12-06 15:37:00,1
2019-12-06 16:36:00,1
2019-12-06 19:08:00,1
2019-12-06 20:12:00,1
2019-12-06 20:51:00,1
2019-12-06 20:58:00,1
2019-12-06 22:17:00,1
2019-12-06 22:56:00,1
