909,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-06 00:00:00,31
2019-12-06 00:01:00,29
2019-12-06 00:02:00,30
2019-12-06 00:03:00,32
2019-12-06 00:04:00,32
2019-12-06 00:05:00,31
2019-12-06 00:06:00,4
2019-12-06 16:42:00,1
2019-12-06 16:43:00,11
2019-12-06 16:44:00,26
2019-12-06 16:45:00,25
2019-12-06 16:46:00,23
2019-12-06 16:47:00,26
2019-12-06 16:48:00,30
2019-12-06 16:49:00,31
2019-12-06 16:50:00,31
2019-12-06 16:51:00,31
2019-12-06 16:52:00,31
2019-12-06 16:53:00,31
2019-12-06 16:54:00,32
2019-12-06 16:55:00,32
2019-12-06 16:56:00,32
2019-12-06 16:57:00,32
2019-12-06 16:58:00,30
2019-12-06 16:59:00,24
2019-12-06 17:00:00,23
2019-12-06 17:01:00,23
2019-12-06 17:02:00,21
2019-12-06 17:03:00,24
2019-12-06 17:04:00,18
2019-12-06 17:05:00,17
2019-12-06 17:06:00,17
2019-12-06 17:07:00,20
2019-12-06 17:08:00,25
2019-12-06 17:09:00,28
2019-12-06 17:10:00,25
