214,select distinct parent from DBViewCols where viewname=&&&
2019-12-06 01:34:00,1
2019-12-06 01:35:00,2
2019-12-06 02:07:00,3
2019-12-06 02:09:00,1
2019-12-06 02:10:00,2
2019-12-06 03:11:00,2
2019-12-06 03:12:00,3
2019-12-06 06:01:00,1
2019-12-06 06:02:00,2
2019-12-06 07:14:00,2
2019-12-06 07:29:00,3
2019-12-06 08:02:00,3
2019-12-06 08:24:00,3
2019-12-06 08:34:00,2
2019-12-06 08:37:00,32
2019-12-06 08:38:00,35
2019-12-06 08:56:00,1
2019-12-06 09:07:00,2
2019-12-06 10:07:00,4
2019-12-06 10:08:00,2
2019-12-06 10:22:00,3
2019-12-06 10:34:00,1
2019-12-06 10:40:00,1
2019-12-06 10:51:00,1
2019-12-06 10:53:00,2
2019-12-06 11:28:00,1
2019-12-06 12:28:00,3
2019-12-06 12:31:00,3
2019-12-06 12:36:00,3
2019-12-06 13:24:00,1
2019-12-06 13:33:00,1
2019-12-06 13:54:00,2
2019-12-06 14:00:00,1
2019-12-06 14:32:00,1
2019-12-06 14:35:00,3
2019-12-06 14:51:00,1
2019-12-06 14:52:00,6
2019-12-06 14:55:00,1
2019-12-06 14:57:00,1
2019-12-06 14:59:00,1
2019-12-06 15:00:00,1
2019-12-06 15:01:00,1
2019-12-06 15:07:00,1
2019-12-06 15:08:00,1
2019-12-06 15:10:00,1
2019-12-06 15:22:00,1
2019-12-06 15:25:00,3
2019-12-06 15:28:00,1
2019-12-06 15:42:00,5
2019-12-06 15:47:00,2
2019-12-06 16:35:00,1
2019-12-06 16:37:00,1
2019-12-06 16:59:00,1
2019-12-06 18:52:00,6
2019-12-06 19:14:00,2
2019-12-06 19:15:00,1
2019-12-06 19:16:00,3
2019-12-06 19:26:00,1
2019-12-06 19:40:00,8
2019-12-06 19:53:00,2
2019-12-06 20:16:00,1
2019-12-06 20:38:00,1
2019-12-06 20:41:00,1
2019-12-06 20:47:00,1
2019-12-06 21:11:00,1
2019-12-06 21:14:00,1
2019-12-06 21:25:00,1
2019-12-06 21:37:00,2
2019-12-06 21:48:00,1
2019-12-06 22:04:00,5
2019-12-06 22:08:00,1
2019-12-06 22:10:00,3
2019-12-06 22:12:00,1
2019-12-06 22:14:00,1
2019-12-06 22:33:00,1
2019-12-06 23:21:00,1
2019-12-06 23:38:00,3
2019-12-06 23:58:00,2
