41,select * from Photoz2 where objid=#
2019-12-06 01:03:00,1
2019-12-06 03:14:00,1
2019-12-06 07:45:00,1
2019-12-06 08:27:00,1
2019-12-06 08:28:00,3
2019-12-06 08:29:00,4
2019-12-06 08:32:00,2
2019-12-06 09:02:00,1
2019-12-06 10:13:00,1
2019-12-06 10:19:00,1
2019-12-06 11:02:00,1
2019-12-06 11:08:00,1
2019-12-06 11:35:00,1
2019-12-06 12:20:00,1
2019-12-06 13:23:00,1
2019-12-06 13:31:00,1
2019-12-06 14:01:00,1
2019-12-06 14:13:00,1
2019-12-06 14:18:00,1
2019-12-06 14:36:00,1
2019-12-06 14:57:00,1
2019-12-06 15:04:00,1
2019-12-06 15:23:00,1
2019-12-06 19:30:00,1
2019-12-06 20:08:00,1
2019-12-06 20:20:00,1
2019-12-06 20:54:00,1
2019-12-06 22:03:00,2
2019-12-06 23:12:00,1
2019-12-06 23:20:00,1
2019-12-06 23:39:00,3
2019-12-06 23:43:00,1
