116,select * from sppParams where specObjId=#
2019-12-06 02:45:00,1
2019-12-06 04:07:00,1
2019-12-06 04:38:00,1
2019-12-06 04:49:00,1
2019-12-06 05:13:00,1
2019-12-06 05:15:00,1
2019-12-06 05:24:00,1
2019-12-06 05:36:00,1
2019-12-06 06:35:00,1
2019-12-06 08:36:00,1
2019-12-06 08:57:00,1
2019-12-06 08:59:00,1
2019-12-06 09:19:00,1
2019-12-06 10:13:00,1
2019-12-06 10:16:00,1
2019-12-06 10:19:00,1
2019-12-06 10:23:00,2
2019-12-06 10:33:00,1
2019-12-06 10:49:00,2
2019-12-06 11:10:00,1
2019-12-06 11:16:00,1
2019-12-06 11:29:00,1
2019-12-06 11:35:00,1
2019-12-06 11:40:00,1
2019-12-06 11:46:00,1
2019-12-06 11:57:00,1
2019-12-06 12:00:00,1
2019-12-06 12:15:00,1
2019-12-06 12:18:00,1
2019-12-06 12:58:00,1
2019-12-06 13:01:00,1
2019-12-06 13:07:00,1
2019-12-06 13:20:00,3
2019-12-06 13:21:00,2
2019-12-06 13:24:00,1
2019-12-06 13:25:00,1
2019-12-06 13:31:00,1
2019-12-06 13:33:00,1
2019-12-06 13:42:00,1
2019-12-06 13:43:00,1
2019-12-06 13:47:00,1
2019-12-06 14:04:00,1
2019-12-06 14:05:00,2
2019-12-06 14:09:00,1
2019-12-06 14:10:00,1
2019-12-06 14:14:00,2
2019-12-06 14:17:00,1
2019-12-06 14:23:00,2
2019-12-06 14:25:00,1
2019-12-06 14:36:00,1
2019-12-06 14:37:00,1
2019-12-06 14:49:00,1
2019-12-06 14:51:00,2
2019-12-06 14:58:00,1
2019-12-06 15:24:00,1
2019-12-06 15:41:00,1
2019-12-06 17:06:00,1
2019-12-06 17:48:00,1
2019-12-06 18:03:00,1
2019-12-06 18:49:00,1
2019-12-06 19:28:00,1
2019-12-06 19:46:00,1
2019-12-06 19:55:00,1
2019-12-06 19:57:00,1
2019-12-06 20:05:00,1
2019-12-06 20:06:00,1
2019-12-06 20:17:00,1
2019-12-06 20:24:00,1
2019-12-06 20:52:00,1
2019-12-06 20:56:00,1
2019-12-06 21:01:00,2
2019-12-06 21:02:00,1
2019-12-06 21:07:00,2
2019-12-06 21:34:00,2
2019-12-06 21:36:00,2
2019-12-06 21:45:00,1
2019-12-06 21:52:00,1
2019-12-06 22:01:00,1
2019-12-06 22:11:00,1
2019-12-06 22:12:00,1
2019-12-06 22:27:00,1
2019-12-06 22:29:00,1
2019-12-06 22:34:00,1
2019-12-06 22:38:00,2
2019-12-06 22:40:00,1
2019-12-06 22:41:00,1
2019-12-06 22:51:00,1
2019-12-06 22:55:00,1
2019-12-06 23:03:00,1
2019-12-06 23:08:00,1
2019-12-06 23:12:00,1
2019-12-06 23:14:00,1
2019-12-06 23:18:00,2
2019-12-06 23:33:00,1
2019-12-06 23:34:00,1
2019-12-06 23:36:00,1
2019-12-06 23:40:00,1
2019-12-06 23:41:00,1
2019-12-06 23:43:00,2
2019-12-06 23:47:00,1
