1517,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-17 12:30:00,17
2019-10-17 12:31:00,97
2019-10-17 12:32:00,259
2019-10-17 12:33:00,141
2019-10-17 12:34:00,234
2019-10-17 12:36:00,22
2019-10-17 12:37:00,56
2019-10-17 12:38:00,93
2019-10-17 12:39:00,91
2019-10-17 12:40:00,16
2019-10-17 12:41:00,79
2019-10-17 12:42:00,28
2019-10-17 12:44:00,54
2019-10-17 12:45:00,86
2019-10-17 12:46:00,76
2019-10-17 12:48:00,100
2019-10-17 12:49:00,14
2019-10-17 12:50:00,54
