21,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-10-17 03:04:00,1
2019-10-17 03:08:00,1
2019-10-17 03:12:00,1
2019-10-17 03:16:00,1
2019-10-17 03:21:00,1
2019-10-17 03:25:00,1
2019-10-17 03:29:00,1
2019-10-17 03:33:00,1
2019-10-17 03:40:00,1
2019-10-17 03:46:00,1
2019-10-17 03:53:00,1
2019-10-17 03:59:00,1
2019-10-17 04:05:00,1
2019-10-17 04:12:00,1
2019-10-17 04:20:00,1
2019-10-17 04:28:00,1
2019-10-17 04:37:00,1
2019-10-17 04:45:00,1
2019-10-17 04:56:00,1
2019-10-17 05:06:00,1
2019-10-17 05:17:00,1
