14094,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, ms.logMass,ms.logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassFSPSGranEarlyDust as ms ON s.specobjid=ms.specobjid"
2019-10-17 20:44:00,16
2019-10-17 20:45:00,109
2019-10-17 20:46:00,101
2019-10-17 20:47:00,105
2019-10-17 20:48:00,112
2019-10-17 20:49:00,112
2019-10-17 20:50:00,122
2019-10-17 20:51:00,104
2019-10-17 20:52:00,116
2019-10-17 20:53:00,102
2019-10-17 20:54:00,119
2019-10-17 20:55:00,102
2019-10-17 20:56:00,75
2019-10-17 20:57:00,115
2019-10-17 20:58:00,126
2019-10-17 20:59:00,126
2019-10-17 21:00:00,104
2019-10-17 21:01:00,112
2019-10-17 21:02:00,104
2019-10-17 21:03:00,113
2019-10-17 21:04:00,117
2019-10-17 21:05:00,104
2019-10-17 21:06:00,126
2019-10-17 21:07:00,119
2019-10-17 21:08:00,110
2019-10-17 21:09:00,119
2019-10-17 21:10:00,113
2019-10-17 21:11:00,98
2019-10-17 21:12:00,105
2019-10-17 21:13:00,117
2019-10-17 21:14:00,107
2019-10-17 21:15:00,103
2019-10-17 21:16:00,98
2019-10-17 21:17:00,90
2019-10-17 21:20:00,17
2019-10-17 21:21:00,115
2019-10-17 21:22:00,117
2019-10-17 21:23:00,120
2019-10-17 21:24:00,112
2019-10-17 21:25:00,126
2019-10-17 21:26:00,107
2019-10-17 21:27:00,132
2019-10-17 21:28:00,114
2019-10-17 21:29:00,108
2019-10-17 21:30:00,94
2019-10-17 21:31:00,111
2019-10-17 21:32:00,116
2019-10-17 21:33:00,118
2019-10-17 21:34:00,116
2019-10-17 21:35:00,127
2019-10-17 21:36:00,117
2019-10-17 21:37:00,115
2019-10-17 21:38:00,128
2019-10-17 21:39:00,118
2019-10-17 21:40:00,118
2019-10-17 21:41:00,117
2019-10-17 21:42:00,109
2019-10-17 21:43:00,116
2019-10-17 21:44:00,110
2019-10-17 21:45:00,108
2019-10-17 21:46:00,109
2019-10-17 21:47:00,114
2019-10-17 21:48:00,135
2019-10-17 21:49:00,112
2019-10-17 21:50:00,112
2019-10-17 21:51:00,130
2019-10-17 21:52:00,121
2019-10-17 21:53:00,114
2019-10-17 21:54:00,127
2019-10-17 21:55:00,117
2019-10-17 21:56:00,120
2019-10-17 21:57:00,122
2019-10-17 21:58:00,117
2019-10-17 21:59:00,115
2019-10-17 22:00:00,124
2019-10-17 22:01:00,111
2019-10-17 22:02:00,117
2019-10-17 22:03:00,121
2019-10-17 22:04:00,120
2019-10-17 22:05:00,113
2019-10-17 22:06:00,117
2019-10-17 22:07:00,115
2019-10-17 22:08:00,111
2019-10-17 22:09:00,123
2019-10-17 22:10:00,121
2019-10-17 22:11:00,108
2019-10-17 22:12:00,118
2019-10-17 22:13:00,123
2019-10-17 22:14:00,111
2019-10-17 22:15:00,113
2019-10-17 22:16:00,118
2019-10-17 22:17:00,119
2019-10-17 22:18:00,133
2019-10-17 22:19:00,115
2019-10-17 22:20:00,90
2019-10-17 22:21:00,108
2019-10-17 22:22:00,102
2019-10-17 22:23:00,111
2019-10-17 22:24:00,117
2019-10-17 22:25:00,123
2019-10-17 22:26:00,107
2019-10-17 22:27:00,128
2019-10-17 22:28:00,125
2019-10-17 22:29:00,115
2019-10-17 22:30:00,107
2019-10-17 22:31:00,121
2019-10-17 22:32:00,113
2019-10-17 22:33:00,116
2019-10-17 22:34:00,125
2019-10-17 22:35:00,104
2019-10-17 22:36:00,117
2019-10-17 22:37:00,130
2019-10-17 22:38:00,128
2019-10-17 22:39:00,114
2019-10-17 22:40:00,104
2019-10-17 22:41:00,107
2019-10-17 22:42:00,123
2019-10-17 22:43:00,117
2019-10-17 22:44:00,116
2019-10-17 22:45:00,111
2019-10-17 22:46:00,110
2019-10-17 22:47:00,125
2019-10-17 22:48:00,114
2019-10-17 22:49:00,124
2019-10-17 22:50:00,99
