2,"SELECT TOP #     s.specobjid, s.z, s.zwarning,     g.lgm_tot_p5#, g.lgm_tot_p1#, g.lgm_tot_p8# FROM    GalSpecExtra AS g    JOIN SpecObj AS s ON s.specobjid = g.specobjid WHERE     g.lgm_tot_p5# > #.     AND s.class = &&&     AND s.zwarning = #"
2019-10-17 09:33:00,1
2019-10-17 09:34:00,1
