30,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-10-17 08:44:00,1
2019-10-17 08:46:00,1
2019-10-17 08:48:00,1
2019-10-17 08:55:00,1
2019-10-17 08:56:00,1
2019-10-17 13:28:00,1
2019-10-17 13:29:00,1
2019-10-17 13:30:00,1
2019-10-17 13:31:00,2
2019-10-17 13:32:00,2
2019-10-17 13:36:00,2
2019-10-17 13:38:00,1
2019-10-17 13:41:00,2
2019-10-17 13:47:00,1
2019-10-17 13:51:00,1
2019-10-17 13:53:00,1
2019-10-17 13:54:00,1
2019-10-17 13:59:00,1
2019-10-17 14:00:00,1
2019-10-17 14:04:00,1
2019-10-17 14:08:00,1
2019-10-17 14:09:00,1
2019-10-17 14:11:00,2
2019-10-17 14:17:00,1
2019-10-17 14:18:00,1
