16729,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, ms.logMass,ms.logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassFSPSGranEarlyDust as ms ON s.specobjid=ms.specobjid WHERE s.z># AND s.z<#"
2019-10-17 20:44:00,17
2019-10-17 20:45:00,125
2019-10-17 20:46:00,126
2019-10-17 20:47:00,127
2019-10-17 20:48:00,134
2019-10-17 20:49:00,126
2019-10-17 20:50:00,142
2019-10-17 20:51:00,127
2019-10-17 20:52:00,128
2019-10-17 20:53:00,132
2019-10-17 20:54:00,141
2019-10-17 20:55:00,119
2019-10-17 20:56:00,88
2019-10-17 20:57:00,144
2019-10-17 20:58:00,149
2019-10-17 20:59:00,143
2019-10-17 21:00:00,122
2019-10-17 21:01:00,130
2019-10-17 21:02:00,138
2019-10-17 21:03:00,143
2019-10-17 21:04:00,141
2019-10-17 21:05:00,121
2019-10-17 21:06:00,136
2019-10-17 21:07:00,136
2019-10-17 21:08:00,132
2019-10-17 21:09:00,141
2019-10-17 21:10:00,131
2019-10-17 21:11:00,124
2019-10-17 21:12:00,127
2019-10-17 21:13:00,136
2019-10-17 21:14:00,119
2019-10-17 21:15:00,120
2019-10-17 21:16:00,112
2019-10-17 21:17:00,109
2019-10-17 21:20:00,21
2019-10-17 21:21:00,142
2019-10-17 21:22:00,129
2019-10-17 21:23:00,147
2019-10-17 21:24:00,137
2019-10-17 21:25:00,150
2019-10-17 21:26:00,130
2019-10-17 21:27:00,149
2019-10-17 21:28:00,137
2019-10-17 21:29:00,132
2019-10-17 21:30:00,111
2019-10-17 21:31:00,132
2019-10-17 21:32:00,147
2019-10-17 21:33:00,138
2019-10-17 21:34:00,140
2019-10-17 21:35:00,140
2019-10-17 21:36:00,139
2019-10-17 21:37:00,142
2019-10-17 21:38:00,143
2019-10-17 21:39:00,142
2019-10-17 21:40:00,142
2019-10-17 21:41:00,140
2019-10-17 21:42:00,127
2019-10-17 21:43:00,139
2019-10-17 21:44:00,131
2019-10-17 21:45:00,136
2019-10-17 21:46:00,136
2019-10-17 21:47:00,133
2019-10-17 21:48:00,152
2019-10-17 21:49:00,145
2019-10-17 21:50:00,144
2019-10-17 21:51:00,149
2019-10-17 21:52:00,139
2019-10-17 21:53:00,138
2019-10-17 21:54:00,147
2019-10-17 21:55:00,141
2019-10-17 21:56:00,139
2019-10-17 21:57:00,138
2019-10-17 21:58:00,134
2019-10-17 21:59:00,139
2019-10-17 22:00:00,147
2019-10-17 22:01:00,137
2019-10-17 22:02:00,143
2019-10-17 22:03:00,141
2019-10-17 22:04:00,137
2019-10-17 22:05:00,146
2019-10-17 22:06:00,140
2019-10-17 22:07:00,139
2019-10-17 22:08:00,129
2019-10-17 22:09:00,148
2019-10-17 22:10:00,136
2019-10-17 22:11:00,133
2019-10-17 22:12:00,139
2019-10-17 22:13:00,146
2019-10-17 22:14:00,140
2019-10-17 22:15:00,136
2019-10-17 22:16:00,142
2019-10-17 22:17:00,138
2019-10-17 22:18:00,151
2019-10-17 22:19:00,131
2019-10-17 22:20:00,112
2019-10-17 22:21:00,123
2019-10-17 22:22:00,122
2019-10-17 22:23:00,135
2019-10-17 22:24:00,146
2019-10-17 22:25:00,142
2019-10-17 22:26:00,125
2019-10-17 22:27:00,148
2019-10-17 22:28:00,148
2019-10-17 22:29:00,137
2019-10-17 22:30:00,132
2019-10-17 22:31:00,144
2019-10-17 22:32:00,127
2019-10-17 22:33:00,138
2019-10-17 22:34:00,138
2019-10-17 22:35:00,127
2019-10-17 22:36:00,140
2019-10-17 22:37:00,155
2019-10-17 22:38:00,147
2019-10-17 22:39:00,137
2019-10-17 22:40:00,132
2019-10-17 22:41:00,136
2019-10-17 22:42:00,143
2019-10-17 22:43:00,136
2019-10-17 22:44:00,142
2019-10-17 22:45:00,136
2019-10-17 22:46:00,125
2019-10-17 22:47:00,140
2019-10-17 22:48:00,133
2019-10-17 22:49:00,141
2019-10-17 22:50:00,120
