73,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-10-17 00:34:00,1
2019-10-17 09:21:00,1
2019-10-17 09:26:00,1
2019-10-17 09:42:00,1
2019-10-17 09:43:00,1
2019-10-17 15:23:00,1
2019-10-17 15:24:00,1
2019-10-17 16:20:00,1
2019-10-17 17:02:00,1
2019-10-17 17:37:00,1
2019-10-17 17:47:00,1
2019-10-17 17:59:00,1
2019-10-17 18:18:00,1
2019-10-17 18:27:00,1
2019-10-17 20:11:00,2
2019-10-17 20:12:00,6
2019-10-17 20:13:00,4
2019-10-17 20:14:00,3
2019-10-17 20:15:00,1
2019-10-17 20:17:00,5
2019-10-17 20:18:00,6
2019-10-17 20:19:00,10
2019-10-17 20:20:00,9
2019-10-17 20:21:00,4
2019-10-17 20:22:00,7
2019-10-17 20:23:00,2
