2033,"SELECT objid,ra,dec, class, z as redshift FROM SpecPhoto WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-17 16:57:00,9
2019-10-17 16:58:00,42
2019-10-17 16:59:00,47
2019-10-17 17:00:00,40
2019-10-17 17:01:00,25
2019-10-17 17:02:00,29
2019-10-17 17:03:00,26
2019-10-17 17:04:00,24
2019-10-17 17:05:00,22
2019-10-17 17:06:00,16
2019-10-17 17:07:00,18
2019-10-17 17:08:00,19
2019-10-17 17:09:00,18
2019-10-17 17:10:00,104
2019-10-17 17:11:00,112
2019-10-17 17:12:00,50
2019-10-17 17:13:00,21
2019-10-17 17:14:00,44
2019-10-17 17:15:00,65
2019-10-17 17:16:00,68
2019-10-17 17:17:00,26
2019-10-17 17:18:00,41
2019-10-17 17:19:00,37
2019-10-17 17:20:00,24
2019-10-17 17:21:00,20
2019-10-17 17:22:00,18
2019-10-17 17:23:00,22
2019-10-17 17:24:00,24
2019-10-17 17:25:00,31
2019-10-17 17:26:00,47
2019-10-17 17:27:00,84
2019-10-17 17:28:00,42
2019-10-17 17:29:00,39
2019-10-17 17:30:00,28
2019-10-17 17:31:00,28
2019-10-17 17:32:00,43
2019-10-17 17:33:00,68
2019-10-17 17:34:00,33
2019-10-17 17:35:00,33
2019-10-17 17:36:00,32
2019-10-17 17:37:00,44
2019-10-17 17:38:00,40
2019-10-17 17:39:00,20
2019-10-17 17:40:00,24
2019-10-17 17:41:00,51
2019-10-17 17:42:00,52
2019-10-17 17:43:00,48
2019-10-17 17:44:00,28
2019-10-17 17:45:00,30
2019-10-17 17:46:00,61
2019-10-17 17:47:00,36
2019-10-17 17:48:00,41
2019-10-17 17:49:00,37
2019-10-17 17:50:00,2
