141,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,  p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID    WHERE   h_alpha_eqw between # and #  and oii_#_eqw between # and #  and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #  and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-03-21 11:46:00,1
2019-03-21 11:47:00,1
2019-03-21 12:56:00,1
2019-03-21 12:57:00,1
2019-03-21 13:00:00,1
2019-03-21 13:01:00,1
2019-03-21 13:02:00,1
2019-03-21 13:03:00,1
2019-03-21 13:04:00,1
2019-03-21 13:05:00,1
2019-03-21 13:11:00,1
2019-03-21 13:12:00,1
2019-03-21 13:13:00,1
2019-03-21 13:15:00,3
2019-03-21 13:16:00,2
2019-03-21 13:17:00,2
2019-03-21 13:21:00,1
2019-03-21 13:23:00,1
2019-03-21 13:24:00,2
2019-03-21 13:25:00,3
2019-03-21 13:26:00,2
2019-03-21 13:27:00,3
2019-03-21 13:28:00,1
2019-03-21 13:29:00,2
2019-03-21 13:30:00,4
2019-03-21 13:31:00,2
2019-03-21 13:32:00,2
2019-03-21 13:33:00,1
2019-03-21 13:34:00,1
2019-03-21 13:35:00,1
2019-03-21 13:36:00,2
2019-03-21 13:37:00,1
2019-03-21 13:38:00,1
2019-03-21 13:39:00,1
2019-03-21 13:40:00,1
2019-03-21 13:41:00,1
2019-03-21 13:43:00,2
2019-03-21 13:44:00,1
2019-03-21 13:45:00,3
2019-03-21 13:46:00,2
2019-03-21 13:47:00,1
2019-03-21 16:11:00,1
2019-03-21 16:12:00,1
2019-03-21 16:15:00,1
2019-03-21 16:18:00,1
2019-03-21 16:20:00,1
2019-03-21 16:23:00,1
2019-03-21 16:24:00,1
2019-03-21 16:26:00,1
2019-03-21 16:28:00,1
2019-03-21 16:30:00,1
2019-03-21 16:34:00,1
2019-03-21 16:35:00,1
2019-03-21 16:38:00,1
2019-03-21 16:39:00,1
2019-03-21 16:41:00,1
2019-03-21 16:42:00,1
2019-03-21 16:44:00,1
2019-03-21 16:46:00,1
2019-03-21 16:47:00,1
2019-03-21 16:51:00,1
2019-03-21 16:53:00,1
2019-03-21 16:56:00,1
2019-03-21 16:57:00,1
2019-03-21 17:08:00,1
2019-03-21 17:09:00,1
2019-03-21 17:11:00,1
2019-03-21 17:13:00,1
2019-03-21 17:15:00,1
2019-03-21 17:16:00,1
2019-03-21 17:18:00,1
2019-03-21 17:20:00,1
2019-03-21 17:24:00,1
2019-03-21 17:25:00,1
2019-03-21 17:27:00,1
2019-03-21 17:28:00,1
2019-03-21 17:29:00,1
2019-03-21 17:30:00,1
2019-03-21 17:31:00,1
2019-03-21 17:33:00,1
2019-03-21 17:34:00,1
2019-03-21 17:36:00,1
2019-03-21 17:38:00,1
2019-03-21 17:39:00,1
2019-03-21 17:40:00,1
2019-03-21 17:41:00,1
2019-03-21 17:42:00,1
2019-03-21 17:46:00,1
2019-03-21 17:47:00,1
2019-03-21 17:49:00,1
2019-03-21 17:50:00,1
2019-03-21 23:20:00,2
2019-03-21 23:23:00,1
2019-03-21 23:24:00,1
2019-03-21 23:25:00,1
2019-03-21 23:26:00,1
2019-03-21 23:27:00,2
2019-03-21 23:28:00,2
2019-03-21 23:34:00,1
2019-03-21 23:36:00,1
2019-03-21 23:37:00,1
2019-03-21 23:38:00,2
2019-03-21 23:39:00,1
2019-03-21 23:40:00,3
2019-03-21 23:47:00,1
2019-03-21 23:49:00,1
2019-03-21 23:50:00,1
2019-03-21 23:51:00,1
2019-03-21 23:52:00,1
2019-03-21 23:53:00,1
2019-03-21 23:54:00,2
2019-03-21 23:55:00,1
2019-03-21 23:57:00,1
