60,SELECT COUNT(*)
2019-03-21 11:10:00,3
2019-03-21 11:12:00,1
2019-03-21 11:14:00,1
2019-03-21 11:15:00,2
2019-03-21 11:16:00,2
2019-03-21 17:01:00,1
2019-03-21 17:03:00,1
2019-03-21 17:18:00,1
2019-03-21 17:37:00,1
2019-03-21 17:41:00,1
2019-03-21 17:42:00,2
2019-03-21 17:43:00,2
2019-03-21 17:44:00,2
2019-03-21 17:45:00,2
2019-03-21 17:46:00,1
2019-03-21 18:18:00,3
2019-03-21 18:19:00,1
2019-03-21 18:27:00,1
2019-03-21 18:30:00,2
2019-03-21 18:31:00,2
2019-03-21 18:44:00,4
2019-03-21 18:45:00,5
2019-03-21 18:46:00,5
2019-03-21 18:47:00,6
2019-03-21 18:48:00,1
2019-03-21 18:55:00,1
2019-03-21 18:56:00,1
2019-03-21 19:09:00,2
2019-03-21 22:19:00,1
2019-03-21 22:20:00,2
