2158,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-03-21 01:39:00,19
2019-03-21 01:40:00,26
2019-03-21 01:41:00,24
2019-03-21 01:42:00,32
2019-03-21 01:43:00,27
2019-03-21 01:44:00,22
2019-03-21 01:45:00,24
2019-03-21 01:46:00,23
2019-03-21 01:47:00,21
2019-03-21 01:48:00,20
2019-03-21 01:49:00,21
2019-03-21 01:50:00,21
2019-03-21 01:51:00,21
2019-03-21 01:52:00,23
2019-03-21 01:53:00,23
2019-03-21 01:54:00,21
2019-03-21 01:55:00,23
2019-03-21 01:56:00,24
2019-03-21 01:57:00,21
2019-03-21 01:58:00,21
2019-03-21 01:59:00,20
2019-03-21 02:00:00,20
2019-03-21 02:01:00,19
2019-03-21 02:02:00,22
2019-03-21 02:03:00,22
2019-03-21 02:04:00,20
2019-03-21 02:05:00,22
2019-03-21 02:06:00,22
2019-03-21 02:07:00,22
2019-03-21 02:08:00,18
2019-03-21 02:09:00,23
2019-03-21 02:10:00,28
2019-03-21 02:11:00,24
2019-03-21 02:12:00,19
2019-03-21 02:13:00,19
2019-03-21 02:14:00,24
2019-03-21 02:15:00,31
2019-03-21 02:16:00,37
2019-03-21 02:17:00,49
2019-03-21 02:18:00,43
2019-03-21 02:19:00,42
2019-03-21 02:20:00,50
2019-03-21 02:21:00,20
2019-03-21 02:22:00,25
2019-03-21 02:23:00,35
2019-03-21 02:24:00,28
2019-03-21 02:25:00,27
2019-03-21 02:26:00,22
2019-03-21 02:27:00,20
2019-03-21 02:28:00,22
2019-03-21 02:29:00,41
2019-03-21 02:30:00,30
2019-03-21 02:31:00,41
2019-03-21 02:32:00,27
2019-03-21 02:33:00,22
2019-03-21 02:34:00,21
2019-03-21 02:35:00,24
2019-03-21 02:36:00,24
2019-03-21 02:37:00,29
2019-03-21 02:38:00,22
2019-03-21 02:39:00,33
2019-03-21 02:40:00,22
2019-03-21 02:41:00,22
2019-03-21 02:42:00,24
2019-03-21 02:43:00,24
2019-03-21 02:44:00,22
2019-03-21 02:45:00,24
2019-03-21 02:46:00,26
2019-03-21 02:47:00,34
2019-03-21 02:48:00,53
2019-03-21 02:49:00,44
2019-03-21 02:50:00,33
2019-03-21 02:51:00,22
2019-03-21 02:52:00,30
2019-03-21 02:53:00,25
2019-03-21 02:54:00,28
2019-03-21 02:55:00,27
2019-03-21 02:56:00,24
2019-03-21 02:57:00,22
2019-03-21 02:58:00,22
2019-03-21 02:59:00,19
2019-03-21 03:00:00,22
2019-03-21 03:01:00,23
