269,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-21 12:38:00,6
2019-03-21 12:44:00,8
2019-03-21 12:49:00,4
2019-03-21 12:50:00,10
2019-03-21 12:54:00,4
2019-03-21 12:55:00,9
2019-03-21 13:01:00,14
2019-03-21 13:09:00,25
2019-03-21 13:10:00,10
2019-03-21 13:13:00,15
2019-03-21 13:16:00,3
2019-03-21 13:19:00,5
2019-03-21 13:23:00,8
2019-03-21 13:27:00,15
2019-03-21 13:37:00,4
2019-03-21 13:42:00,12
2019-03-21 13:45:00,11
2019-03-21 13:47:00,9
2019-03-21 13:49:00,14
2019-03-21 13:53:00,34
2019-03-21 13:54:00,15
2019-03-21 13:55:00,3
2019-03-21 14:07:00,8
2019-03-21 14:11:00,15
2019-03-21 14:14:00,8
