160,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.cModelMag_g as g, sp.cModelMagerr_g as err_g,   sp.cModelMag_i as i, sp.cModelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,  p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID    WHERE   h_alpha_eqw between # and #  and oii_#_eqw between # and #  and sp.cModelMag_g-sp.cModelMag_i between # and #   and sp.z between # and #  and sp.cModelMag_i-#*log1#(#E+#*sp.z) < #"
2019-03-21 11:55:00,1
2019-03-21 11:57:00,1
2019-03-21 11:59:00,1
2019-03-21 12:00:00,1
2019-03-21 12:01:00,1
2019-03-21 12:02:00,2
2019-03-21 12:04:00,2
2019-03-21 12:05:00,3
2019-03-21 12:06:00,2
2019-03-21 12:07:00,3
2019-03-21 12:08:00,2
2019-03-21 12:09:00,2
2019-03-21 12:10:00,2
2019-03-21 12:11:00,1
2019-03-21 12:12:00,1
2019-03-21 12:13:00,1
2019-03-21 12:14:00,2
2019-03-21 12:15:00,2
2019-03-21 12:16:00,1
2019-03-21 12:17:00,2
2019-03-21 12:18:00,2
2019-03-21 12:19:00,1
2019-03-21 12:20:00,1
2019-03-21 12:21:00,1
2019-03-21 12:23:00,1
2019-03-21 12:25:00,1
2019-03-21 12:27:00,1
2019-03-21 12:31:00,1
2019-03-21 12:32:00,1
2019-03-21 12:38:00,1
2019-03-21 12:41:00,1
2019-03-21 12:43:00,1
2019-03-21 12:44:00,1
2019-03-21 12:45:00,2
2019-03-21 12:47:00,1
2019-03-21 12:48:00,1
2019-03-21 12:52:00,1
2019-03-21 12:53:00,1
2019-03-21 13:48:00,1
2019-03-21 13:51:00,1
2019-03-21 13:52:00,1
2019-03-21 13:53:00,2
2019-03-21 13:54:00,1
2019-03-21 13:55:00,3
2019-03-21 13:56:00,2
2019-03-21 13:57:00,2
2019-03-21 13:58:00,4
2019-03-21 13:59:00,2
2019-03-21 14:00:00,3
2019-03-21 14:01:00,2
2019-03-21 14:03:00,1
2019-03-21 14:04:00,2
2019-03-21 14:05:00,3
2019-03-21 14:06:00,3
2019-03-21 14:07:00,1
2019-03-21 14:08:00,2
2019-03-21 14:09:00,2
2019-03-21 14:10:00,2
2019-03-21 14:12:00,2
2019-03-21 14:14:00,1
2019-03-21 14:15:00,2
2019-03-21 14:16:00,1
2019-03-21 14:17:00,2
2019-03-21 14:19:00,3
2019-03-21 14:20:00,1
2019-03-21 14:21:00,1
2019-03-21 14:22:00,2
2019-03-21 14:25:00,1
2019-03-21 14:29:00,1
2019-03-21 14:30:00,1
2019-03-21 14:32:00,1
2019-03-21 14:34:00,1
2019-03-21 14:35:00,1
2019-03-21 14:36:00,2
2019-03-21 14:37:00,2
2019-03-21 14:38:00,1
2019-03-21 14:39:00,1
2019-03-21 14:40:00,2
2019-03-21 14:41:00,1
2019-03-21 14:42:00,2
2019-03-21 14:43:00,1
2019-03-21 14:44:00,1
2019-03-21 14:45:00,1
2019-03-21 14:46:00,1
2019-03-21 14:47:00,1
2019-03-21 14:48:00,1
2019-03-21 14:49:00,1
2019-03-21 14:53:00,1
2019-03-21 14:54:00,1
2019-03-21 14:56:00,1
2019-03-21 14:57:00,1
2019-03-21 14:58:00,1
2019-03-21 14:59:00,2
2019-03-21 15:01:00,1
2019-03-21 15:02:00,1
2019-03-21 15:03:00,1
2019-03-21 15:04:00,1
2019-03-21 15:05:00,1
2019-03-21 15:06:00,1
2019-03-21 15:07:00,1
2019-03-21 15:09:00,1
2019-03-21 15:10:00,1
2019-03-21 15:13:00,1
2019-03-21 15:15:00,1
2019-03-21 15:19:00,1
2019-03-21 15:24:00,1
2019-03-21 15:27:00,1
2019-03-21 15:28:00,1
2019-03-21 15:31:00,1
2019-03-21 15:32:00,1
2019-03-21 15:38:00,1
2019-03-21 15:40:00,1
2019-03-21 15:44:00,1
2019-03-21 15:48:00,1
