82,"SELECT ra, dec FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-03-22 01:24:00,1
2019-03-22 01:25:00,1
2019-03-22 01:51:00,1
2019-03-22 01:52:00,1
2019-03-22 01:55:00,1
2019-03-22 01:56:00,1
2019-03-22 01:57:00,1
2019-03-22 01:59:00,1
2019-03-22 02:00:00,1
2019-03-22 02:02:00,2
2019-03-22 02:36:00,1
2019-03-22 02:37:00,1
2019-03-22 02:38:00,1
2019-03-22 02:40:00,1
2019-03-22 02:41:00,1
2019-03-22 03:30:00,1
2019-03-22 03:33:00,1
2019-03-22 03:36:00,1
2019-03-22 03:37:00,2
2019-03-22 03:42:00,1
2019-03-22 12:48:00,2
2019-03-22 12:50:00,1
2019-03-22 12:53:00,1
2019-03-22 12:54:00,1
2019-03-22 12:56:00,1
2019-03-22 13:03:00,1
2019-03-22 13:06:00,1
2019-03-22 13:14:00,1
2019-03-22 13:15:00,1
2019-03-22 13:17:00,1
2019-03-22 14:20:00,1
2019-03-22 14:22:00,1
2019-03-22 14:30:00,1
2019-03-22 14:32:00,1
2019-03-22 15:10:00,1
2019-03-22 15:11:00,1
2019-03-22 15:14:00,1
2019-03-22 15:16:00,1
2019-03-22 15:20:00,1
2019-03-22 15:35:00,1
2019-03-22 15:41:00,1
2019-03-22 15:44:00,1
2019-03-22 15:45:00,1
2019-03-22 15:47:00,1
2019-03-22 18:14:00,1
2019-03-22 18:22:00,1
2019-03-22 18:26:00,1
2019-03-22 20:06:00,1
2019-03-22 20:11:00,1
2019-03-22 20:12:00,1
2019-03-22 20:13:00,1
2019-03-22 20:14:00,1
2019-03-22 20:18:00,1
2019-03-22 20:34:00,1
2019-03-22 20:47:00,1
2019-03-22 20:49:00,1
2019-03-22 20:51:00,1
2019-03-22 20:53:00,1
2019-03-22 20:55:00,1
2019-03-22 20:57:00,1
2019-03-22 21:28:00,1
2019-03-22 21:30:00,1
2019-03-22 21:35:00,1
2019-03-22 21:43:00,1
2019-03-22 21:44:00,1
2019-03-22 22:02:00,1
2019-03-22 22:43:00,1
2019-03-22 22:45:00,1
2019-03-22 22:47:00,1
2019-03-22 22:49:00,1
2019-03-22 22:50:00,1
2019-03-22 22:51:00,1
2019-03-22 22:54:00,1
2019-03-22 22:56:00,1
2019-03-22 22:57:00,1
2019-03-22 23:07:00,2
2019-03-22 23:11:00,1
2019-03-22 23:14:00,1
