21,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-03-22 03:25:00,1
2019-03-22 08:48:00,1
2019-03-22 11:17:00,1
2019-03-22 11:48:00,1
2019-03-22 14:07:00,1
2019-03-22 15:26:00,1
2019-03-22 18:14:00,1
2019-03-22 19:58:00,2
2019-03-22 19:59:00,1
2019-03-22 20:12:00,1
2019-03-22 20:14:00,1
2019-03-22 20:18:00,2
2019-03-22 20:19:00,1
2019-03-22 20:20:00,2
2019-03-22 20:27:00,1
2019-03-22 20:28:00,1
2019-03-22 20:53:00,1
2019-03-22 21:25:00,1
