218,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-22 00:01:00,2
2019-03-22 00:03:00,5
2019-03-22 00:04:00,1
2019-03-22 00:09:00,10
2019-03-22 00:12:00,4
2019-03-22 00:14:00,3
2019-03-22 00:15:00,3
2019-03-22 00:17:00,3
2019-03-22 00:21:00,10
2019-03-22 00:23:00,3
2019-03-22 00:24:00,2
2019-03-22 00:26:00,3
2019-03-22 00:27:00,3
2019-03-22 00:31:00,9
2019-03-22 00:37:00,10
2019-03-22 00:42:00,10
2019-03-22 00:44:00,1
2019-03-22 00:55:00,2
2019-03-22 01:00:00,5
2019-03-22 01:01:00,5
2019-03-22 01:02:00,1
2019-03-22 01:03:00,1
2019-03-22 01:04:00,2
2019-03-22 01:15:00,1
2019-03-22 01:19:00,9
2019-03-22 01:21:00,2
2019-03-22 01:22:00,1
2019-03-22 01:23:00,2
2019-03-22 01:24:00,3
2019-03-22 01:26:00,2
2019-03-22 01:32:00,10
2019-03-22 01:34:00,2
2019-03-22 01:35:00,2
2019-03-22 01:36:00,1
2019-03-22 01:38:00,5
2019-03-22 01:39:00,1
2019-03-22 01:43:00,10
2019-03-22 01:45:00,2
2019-03-22 01:49:00,10
2019-03-22 01:53:00,2
2019-03-22 01:57:00,10
2019-03-22 02:01:00,1
2019-03-22 02:02:00,9
2019-03-22 02:08:00,2
2019-03-22 02:10:00,2
2019-03-22 02:14:00,10
2019-03-22 02:15:00,1
2019-03-22 02:16:00,2
2019-03-22 02:18:00,3
2019-03-22 02:19:00,1
2019-03-22 02:20:00,1
2019-03-22 02:25:00,1
2019-03-22 02:29:00,10
2019-03-22 02:35:00,1
2019-03-22 02:36:00,1
