956,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-03-22 00:00:00,2
2019-03-22 00:01:00,1
2019-03-22 00:02:00,1
2019-03-22 00:03:00,2
2019-03-22 00:04:00,1
2019-03-22 00:05:00,1
2019-03-22 00:06:00,1
2019-03-22 00:07:00,2
2019-03-22 00:08:00,1
2019-03-22 00:09:00,1
2019-03-22 00:10:00,2
2019-03-22 00:11:00,1
2019-03-22 00:12:00,1
2019-03-22 00:13:00,1
2019-03-22 00:14:00,1
2019-03-22 00:15:00,2
2019-03-22 00:16:00,1
2019-03-22 00:17:00,1
2019-03-22 00:18:00,2
2019-03-22 00:19:00,1
2019-03-22 00:20:00,1
2019-03-22 00:21:00,2
2019-03-22 00:22:00,1
2019-03-22 00:23:00,1
2019-03-22 00:24:00,2
2019-03-22 00:25:00,1
2019-03-22 00:26:00,1
2019-03-22 00:27:00,1
2019-03-22 00:28:00,2
2019-03-22 00:29:00,1
2019-03-22 00:30:00,1
2019-03-22 00:31:00,2
2019-03-22 00:32:00,1
2019-03-22 00:33:00,1
2019-03-22 00:34:00,2
2019-03-22 00:35:00,1
2019-03-22 00:36:00,1
2019-03-22 00:37:00,1
2019-03-22 00:38:00,2
2019-03-22 00:39:00,1
2019-03-22 00:40:00,1
2019-03-22 00:41:00,2
2019-03-22 00:42:00,1
2019-03-22 00:43:00,1
2019-03-22 00:44:00,2
2019-03-22 00:45:00,1
2019-03-22 00:46:00,1
2019-03-22 00:47:00,2
2019-03-22 00:48:00,1
2019-03-22 00:49:00,1
2019-03-22 00:50:00,1
2019-03-22 00:51:00,2
2019-03-22 00:52:00,1
2019-03-22 00:53:00,1
2019-03-22 00:54:00,2
2019-03-22 00:55:00,1
2019-03-22 00:56:00,1
2019-03-22 00:57:00,1
2019-03-22 00:58:00,3
2019-03-22 00:59:00,1
2019-03-22 01:00:00,1
2019-03-22 01:01:00,2
2019-03-22 01:02:00,1
2019-03-22 01:03:00,1
2019-03-22 01:04:00,2
2019-03-22 01:05:00,1
