22,"select ra,dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-22 00:09:00,1
2019-03-22 00:11:00,1
2019-03-22 14:00:00,1
2019-03-22 14:06:00,1
2019-03-22 18:16:00,1
2019-03-22 19:05:00,1
2019-03-22 19:07:00,1
2019-03-22 19:09:00,1
2019-03-22 19:12:00,1
2019-03-22 19:13:00,1
2019-03-22 19:17:00,1
2019-03-22 19:19:00,1
2019-03-22 19:20:00,1
2019-03-22 19:44:00,1
2019-03-22 19:45:00,1
2019-03-22 20:03:00,1
2019-03-22 20:09:00,1
2019-03-22 20:13:00,1
2019-03-22 23:20:00,1
2019-03-22 23:22:00,3
