118,select * from sppParams where specObjId=#
2019-08-28 00:00:00,1
2019-08-28 00:33:00,1
2019-08-28 02:22:00,1
2019-08-28 02:38:00,2
2019-08-28 02:40:00,1
2019-08-28 09:10:00,4
2019-08-28 09:11:00,15
2019-08-28 09:12:00,9
2019-08-28 09:13:00,7
2019-08-28 09:14:00,7
2019-08-28 09:15:00,7
2019-08-28 09:16:00,8
2019-08-28 09:17:00,8
2019-08-28 09:18:00,2
2019-08-28 12:54:00,1
2019-08-28 12:59:00,1
2019-08-28 13:32:00,6
2019-08-28 13:33:00,2
2019-08-28 13:55:00,1
2019-08-28 17:12:00,1
2019-08-28 18:44:00,3
2019-08-28 18:45:00,4
2019-08-28 19:08:00,9
2019-08-28 19:09:00,17
