151,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-08-28 00:02:00,1
2019-08-28 00:05:00,1
2019-08-28 00:07:00,1
2019-08-28 00:13:00,1
2019-08-28 00:18:00,1
2019-08-28 00:20:00,1
2019-08-28 00:25:00,1
2019-08-28 00:30:00,1
2019-08-28 00:32:00,1
2019-08-28 00:34:00,1
2019-08-28 00:37:00,1
2019-08-28 00:48:00,1
2019-08-28 00:50:00,1
2019-08-28 00:53:00,1
2019-08-28 00:55:00,1
2019-08-28 00:58:00,1
2019-08-28 01:00:00,1
2019-08-28 01:03:00,1
2019-08-28 01:06:00,1
2019-08-28 01:07:00,1
2019-08-28 01:09:00,1
2019-08-28 01:11:00,1
2019-08-28 01:14:00,1
2019-08-28 01:17:00,1
2019-08-28 01:24:00,1
2019-08-28 01:26:00,1
2019-08-28 01:27:00,1
2019-08-28 01:32:00,1
2019-08-28 01:34:00,1
2019-08-28 01:35:00,1
2019-08-28 01:38:00,1
2019-08-28 01:42:00,1
2019-08-28 01:45:00,1
2019-08-28 01:47:00,1
2019-08-28 01:49:00,1
2019-08-28 01:50:00,1
2019-08-28 01:52:00,1
2019-08-28 01:54:00,1
2019-08-28 01:57:00,1
2019-08-28 01:58:00,1
2019-08-28 02:01:00,1
2019-08-28 02:03:00,1
2019-08-28 02:06:00,1
2019-08-28 02:11:00,1
2019-08-28 02:14:00,1
2019-08-28 02:22:00,1
2019-08-28 02:24:00,1
2019-08-28 02:26:00,1
2019-08-28 02:30:00,1
2019-08-28 02:31:00,1
2019-08-28 02:33:00,1
2019-08-28 02:41:00,1
2019-08-28 02:42:00,1
2019-08-28 05:41:00,1
2019-08-28 05:42:00,1
2019-08-28 05:48:00,1
2019-08-28 05:53:00,1
2019-08-28 05:54:00,1
2019-08-28 05:58:00,1
2019-08-28 05:59:00,1
2019-08-28 06:02:00,1
2019-08-28 06:03:00,1
2019-08-28 06:10:00,1
2019-08-28 06:11:00,1
2019-08-28 06:17:00,2
2019-08-28 06:21:00,1
2019-08-28 06:25:00,1
2019-08-28 06:27:00,1
2019-08-28 06:29:00,1
2019-08-28 06:34:00,1
2019-08-28 06:36:00,1
2019-08-28 06:42:00,1
2019-08-28 06:47:00,1
2019-08-28 06:49:00,1
2019-08-28 06:51:00,1
2019-08-28 06:53:00,1
2019-08-28 06:56:00,1
2019-08-28 07:05:00,1
2019-08-28 07:07:00,1
2019-08-28 07:10:00,1
2019-08-28 07:20:00,1
2019-08-28 07:21:00,1
2019-08-28 07:22:00,1
2019-08-28 07:23:00,1
2019-08-28 07:32:00,1
2019-08-28 07:35:00,1
2019-08-28 07:38:00,1
2019-08-28 07:39:00,1
2019-08-28 07:42:00,1
2019-08-28 07:48:00,1
2019-08-28 07:50:00,1
2019-08-28 07:53:00,1
2019-08-28 07:54:00,1
2019-08-28 07:55:00,1
2019-08-28 07:59:00,1
2019-08-28 08:01:00,1
2019-08-28 08:03:00,1
2019-08-28 08:12:00,1
2019-08-28 08:15:00,1
2019-08-28 08:18:00,1
2019-08-28 08:23:00,1
2019-08-28 08:28:00,1
2019-08-28 08:31:00,1
2019-08-28 08:34:00,1
2019-08-28 08:44:00,1
2019-08-28 08:49:00,1
2019-08-28 08:50:00,1
2019-08-28 14:07:00,1
2019-08-28 14:08:00,1
2019-08-28 14:12:00,1
2019-08-28 14:14:00,1
2019-08-28 14:16:00,2
2019-08-28 14:18:00,1
2019-08-28 14:21:00,1
2019-08-28 14:27:00,1
2019-08-28 14:31:00,1
2019-08-28 14:34:00,1
2019-08-28 14:48:00,1
2019-08-28 14:53:00,1
2019-08-28 14:55:00,1
2019-08-28 14:57:00,1
2019-08-28 14:59:00,1
2019-08-28 15:00:00,1
2019-08-28 15:01:00,1
2019-08-28 15:02:00,1
2019-08-28 15:08:00,1
2019-08-28 15:12:00,1
2019-08-28 15:13:00,1
2019-08-28 15:15:00,1
2019-08-28 15:16:00,1
2019-08-28 15:19:00,1
2019-08-28 15:23:00,1
2019-08-28 15:24:00,1
2019-08-28 15:25:00,1
2019-08-28 15:36:00,1
2019-08-28 15:38:00,1
2019-08-28 15:39:00,1
2019-08-28 15:41:00,1
2019-08-28 15:47:00,1
2019-08-28 15:49:00,1
2019-08-28 15:50:00,1
2019-08-28 15:53:00,1
2019-08-28 15:57:00,1
2019-08-28 15:59:00,1
2019-08-28 16:04:00,1
2019-08-28 16:05:00,1
2019-08-28 16:20:00,1
2019-08-28 16:24:00,1
2019-08-28 16:25:00,1
