87,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-08-28 00:14:00,1
2019-08-28 00:30:00,1
2019-08-28 01:51:00,1
2019-08-28 02:58:00,1
2019-08-28 03:03:00,10
2019-08-28 03:19:00,1
2019-08-28 03:42:00,1
2019-08-28 03:43:00,1
2019-08-28 04:23:00,1
2019-08-28 04:34:00,1
2019-08-28 04:45:00,1
2019-08-28 05:08:00,1
2019-08-28 05:20:00,1
2019-08-28 06:08:00,1
2019-08-28 06:10:00,1
2019-08-28 06:34:00,1
2019-08-28 06:43:00,1
2019-08-28 06:53:00,5
2019-08-28 06:54:00,5
2019-08-28 07:52:00,1
2019-08-28 08:24:00,1
2019-08-28 09:33:00,1
2019-08-28 10:01:00,1
2019-08-28 10:11:00,2
2019-08-28 11:12:00,1
2019-08-28 11:33:00,1
2019-08-28 12:55:00,1
2019-08-28 13:20:00,5
2019-08-28 13:21:00,5
2019-08-28 15:19:00,1
2019-08-28 16:49:00,1
2019-08-28 19:26:00,1
2019-08-28 19:46:00,1
2019-08-28 19:54:00,1
2019-08-28 20:39:00,1
2019-08-28 21:08:00,1
2019-08-28 21:14:00,1
2019-08-28 21:44:00,1
2019-08-28 22:39:00,5
2019-08-28 22:40:00,4
2019-08-28 22:42:00,4
2019-08-28 22:44:00,1
2019-08-28 22:47:00,3
2019-08-28 22:48:00,1
2019-08-28 22:52:00,1
2019-08-28 22:53:00,1
2019-08-28 23:08:00,1
2019-08-28 23:10:00,1
2019-08-28 23:23:00,1
