22,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.u,p.g,p.r,p.i,p.z   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # and # AND p.g/p.err_g > # AND p.r/p.err_r > #"
2019-02-03 18:23:00,1
2019-02-03 18:25:00,1
2019-02-03 18:27:00,1
2019-02-03 18:28:00,1
2019-02-03 18:29:00,1
2019-02-03 18:30:00,1
2019-02-03 18:33:00,1
2019-02-03 18:39:00,2
2019-02-03 18:41:00,1
2019-02-03 18:42:00,2
2019-02-03 18:43:00,1
2019-02-03 18:45:00,1
2019-02-03 18:46:00,1
2019-02-03 18:48:00,1
2019-02-03 18:49:00,1
2019-02-03 18:52:00,3
2019-02-03 18:55:00,2
