112,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-02-03 00:53:00,1
2019-02-03 01:39:00,3
2019-02-03 01:40:00,7
2019-02-03 01:41:00,9
2019-02-03 01:42:00,8
2019-02-03 01:43:00,9
2019-02-03 01:44:00,9
2019-02-03 04:16:00,1
2019-02-03 08:29:00,1
2019-02-03 10:35:00,1
2019-02-03 13:13:00,1
2019-02-03 13:26:00,1
2019-02-03 14:33:00,2
2019-02-03 14:57:00,6
2019-02-03 17:03:00,1
2019-02-03 17:39:00,1
2019-02-03 18:58:00,2
2019-02-03 19:29:00,1
2019-02-03 19:45:00,1
2019-02-03 20:10:00,1
2019-02-03 20:50:00,3
2019-02-03 21:15:00,1
2019-02-03 21:43:00,1
2019-02-03 22:14:00,1
2019-02-03 22:27:00,1
2019-02-03 23:08:00,1
2019-02-03 23:09:00,36
2019-02-03 23:10:00,1
2019-02-03 23:45:00,1
