2,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.u,p.g,p.r,p.i,p.z   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u > #   AND p.g > #   AND p.r BETWEEN # AND #   AND p.i BETWEEN # AND #  AND p.petror9#_r < #"
2019-02-03 17:47:00,1
2019-02-03 17:48:00,1
