135,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-23 08:01:00,1
2019-04-23 08:15:00,1
2019-04-23 08:20:00,1
2019-04-23 08:55:00,7
2019-04-23 09:00:00,6
2019-04-23 09:05:00,3
2019-04-23 09:10:00,2
2019-04-23 09:35:00,1
2019-04-23 09:40:00,1
2019-04-23 09:45:00,2
2019-04-23 09:50:00,2
2019-04-23 11:15:00,1
2019-04-23 12:01:00,1
2019-04-23 12:04:00,1
2019-04-23 12:05:00,1
2019-04-23 12:07:00,1
2019-04-23 12:15:00,1
2019-04-23 12:20:00,1
2019-04-23 12:35:00,3
2019-04-23 12:40:00,2
2019-04-23 14:55:00,4
2019-04-23 15:00:00,1
2019-04-23 15:05:00,4
2019-04-23 15:10:00,2
2019-04-23 15:15:00,2
2019-04-23 15:20:00,1
2019-04-23 15:34:00,1
2019-04-23 15:35:00,4
2019-04-23 15:38:00,1
2019-04-23 15:40:00,3
2019-04-23 15:41:00,1
2019-04-23 15:52:00,1
2019-04-23 15:56:00,1
2019-04-23 16:05:00,6
2019-04-23 16:20:00,19
2019-04-23 16:25:00,16
2019-04-23 18:06:00,1
2019-04-23 18:09:00,1
2019-04-23 18:10:00,5
2019-04-23 18:12:00,1
2019-04-23 18:15:00,4
2019-04-23 18:16:00,1
2019-04-23 18:27:00,1
2019-04-23 18:30:00,1
2019-04-23 18:35:00,1
2019-04-23 18:45:00,1
2019-04-23 20:35:00,1
2019-04-23 20:40:00,1
2019-04-23 21:20:00,1
2019-04-23 21:26:00,5
2019-04-23 21:30:00,2
2019-04-23 22:45:00,1
2019-04-23 22:50:00,1
