919,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-23 12:31:00,31
2019-04-23 12:32:00,23
2019-04-23 12:35:00,16
2019-04-23 12:36:00,25
2019-04-23 12:37:00,47
2019-04-23 12:38:00,6
2019-04-23 12:40:00,13
2019-04-23 12:42:00,9
2019-04-23 12:43:00,18
2019-04-23 12:44:00,21
2019-04-23 12:45:00,28
2019-04-23 12:46:00,9
2019-04-23 12:47:00,24
2019-04-23 12:48:00,3
2019-04-23 12:49:00,33
2019-04-23 12:51:00,6
2019-04-23 12:52:00,15
2019-04-23 12:53:00,7
2019-04-23 12:54:00,26
2019-04-23 12:56:00,10
2019-04-23 12:57:00,12
2019-04-23 12:58:00,25
2019-04-23 12:59:00,10
2019-04-23 13:02:00,85
2019-04-23 13:03:00,316
2019-04-23 13:04:00,7
2019-04-23 13:05:00,8
2019-04-23 13:06:00,25
2019-04-23 13:07:00,45
2019-04-23 13:08:00,16
