52,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-04-23 07:47:00,1
2019-04-23 07:48:00,1
2019-04-23 07:50:00,1
2019-04-23 09:25:00,1
2019-04-23 10:12:00,2
2019-04-23 10:13:00,1
2019-04-23 10:25:00,3
2019-04-23 10:26:00,1
2019-04-23 10:27:00,2
2019-04-23 10:28:00,1
2019-04-23 10:31:00,1
2019-04-23 10:34:00,1
2019-04-23 10:35:00,4
2019-04-23 10:36:00,1
2019-04-23 10:39:00,1
2019-04-23 10:40:00,1
2019-04-23 10:41:00,1
2019-04-23 11:11:00,1
2019-04-23 11:14:00,1
2019-04-23 11:17:00,2
2019-04-23 11:18:00,3
2019-04-23 11:20:00,4
2019-04-23 11:21:00,3
2019-04-23 11:22:00,2
2019-04-23 11:23:00,1
2019-04-23 11:24:00,3
2019-04-23 11:25:00,2
2019-04-23 11:36:00,1
2019-04-23 11:37:00,2
2019-04-23 11:54:00,1
2019-04-23 12:23:00,1
2019-04-23 16:04:00,1
