480,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-04-23 08:23:00,3
2019-04-23 08:24:00,34
2019-04-23 08:25:00,33
2019-04-23 08:26:00,22
2019-04-23 08:27:00,29
2019-04-23 08:28:00,14
2019-04-23 08:29:00,32
2019-04-23 08:30:00,33
2019-04-23 08:31:00,15
2019-04-23 08:32:00,10
2019-04-23 08:33:00,20
2019-04-23 08:34:00,20
2019-04-23 08:35:00,21
2019-04-23 08:36:00,18
2019-04-23 08:37:00,16
2019-04-23 08:38:00,27
2019-04-23 08:39:00,37
2019-04-23 08:40:00,20
2019-04-23 08:41:00,40
2019-04-23 08:42:00,16
2019-04-23 08:43:00,19
2019-04-23 13:07:00,1
