43,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-04-23 02:28:00,1
2019-04-23 06:54:00,1
2019-04-23 07:19:00,10
2019-04-23 07:20:00,1
2019-04-23 07:21:00,2
2019-04-23 07:32:00,1
2019-04-23 07:33:00,3
2019-04-23 07:45:00,2
2019-04-23 07:46:00,1
2019-04-23 07:57:00,1
2019-04-23 10:16:00,1
2019-04-23 12:57:00,1
2019-04-23 13:00:00,7
2019-04-23 13:01:00,5
2019-04-23 13:46:00,1
2019-04-23 15:19:00,1
2019-04-23 16:39:00,2
2019-04-23 20:36:00,1
2019-04-23 23:58:00,1
