118,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-06-26 09:08:00,1
2019-06-26 09:09:00,5
2019-06-26 09:31:00,3
2019-06-26 09:32:00,3
2019-06-26 09:35:00,4
2019-06-26 09:36:00,2
2019-06-26 09:53:00,3
2019-06-26 09:54:00,8
2019-06-26 09:55:00,7
2019-06-26 10:07:00,3
2019-06-26 10:08:00,2
2019-06-26 10:09:00,1
2019-06-26 10:10:00,2
2019-06-26 10:11:00,3
2019-06-26 10:12:00,1
2019-06-26 11:50:00,2
2019-06-26 11:51:00,3
2019-06-26 11:52:00,1
2019-06-26 11:56:00,6
2019-06-26 11:57:00,6
2019-06-26 11:59:00,2
2019-06-26 12:00:00,24
2019-06-26 12:01:00,12
2019-06-26 12:02:00,4
2019-06-26 12:05:00,2
2019-06-26 12:06:00,6
2019-06-26 12:07:00,2
