515,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r, petroMag_i, petroMagErr_i FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-06-26 00:07:00,1
2019-06-26 00:08:00,1
2019-06-26 00:10:00,1
2019-06-26 00:11:00,1
2019-06-26 00:12:00,1
2019-06-26 00:14:00,1
2019-06-26 00:16:00,1
2019-06-26 00:18:00,1
2019-06-26 00:22:00,1
2019-06-26 00:23:00,1
2019-06-26 00:24:00,1
2019-06-26 00:25:00,1
2019-06-26 00:27:00,2
2019-06-26 00:29:00,1
2019-06-26 00:30:00,1
2019-06-26 00:31:00,1
2019-06-26 00:32:00,1
2019-06-26 00:33:00,1
2019-06-26 00:34:00,2
2019-06-26 00:36:00,2
2019-06-26 00:37:00,1
2019-06-26 00:38:00,1
2019-06-26 00:40:00,3
2019-06-26 00:42:00,1
2019-06-26 00:44:00,1
2019-06-26 00:47:00,1
2019-06-26 00:48:00,1
2019-06-26 00:51:00,1
2019-06-26 00:52:00,1
2019-06-26 00:53:00,1
2019-06-26 00:55:00,1
2019-06-26 00:56:00,1
2019-06-26 00:57:00,1
2019-06-26 00:58:00,1
2019-06-26 01:00:00,1
2019-06-26 01:03:00,1
2019-06-26 01:05:00,1
2019-06-26 01:07:00,1
2019-06-26 01:09:00,1
2019-06-26 01:10:00,1
2019-06-26 01:11:00,1
2019-06-26 01:12:00,1
2019-06-26 01:14:00,1
2019-06-26 01:16:00,1
2019-06-26 01:17:00,1
2019-06-26 01:19:00,1
2019-06-26 01:20:00,1
2019-06-26 01:22:00,1
2019-06-26 01:24:00,1
2019-06-26 01:26:00,1
2019-06-26 01:28:00,1
2019-06-26 01:29:00,1
2019-06-26 01:31:00,1
2019-06-26 01:33:00,1
2019-06-26 01:36:00,1
2019-06-26 01:37:00,1
2019-06-26 01:38:00,1
2019-06-26 01:40:00,1
2019-06-26 01:42:00,1
2019-06-26 01:43:00,1
2019-06-26 01:44:00,1
2019-06-26 01:45:00,1
2019-06-26 01:46:00,1
2019-06-26 01:47:00,2
2019-06-26 01:48:00,2
2019-06-26 01:49:00,2
2019-06-26 01:50:00,2
2019-06-26 01:51:00,2
2019-06-26 01:52:00,1
2019-06-26 01:54:00,1
2019-06-26 01:55:00,1
2019-06-26 01:57:00,1
2019-06-26 01:58:00,1
2019-06-26 01:59:00,2
2019-06-26 02:00:00,1
2019-06-26 02:01:00,1
2019-06-26 02:02:00,1
2019-06-26 02:03:00,1
2019-06-26 02:05:00,1
2019-06-26 02:06:00,1
2019-06-26 02:07:00,1
2019-06-26 02:08:00,1
2019-06-26 02:10:00,1
2019-06-26 02:11:00,1
2019-06-26 02:12:00,2
2019-06-26 02:13:00,1
2019-06-26 02:15:00,1
2019-06-26 02:17:00,1
2019-06-26 02:18:00,1
2019-06-26 02:19:00,1
2019-06-26 02:20:00,1
2019-06-26 02:21:00,1
2019-06-26 02:23:00,1
2019-06-26 02:24:00,1
2019-06-26 02:25:00,1
2019-06-26 02:26:00,1
2019-06-26 02:27:00,1
2019-06-26 02:28:00,1
2019-06-26 02:29:00,1
2019-06-26 02:30:00,1
2019-06-26 02:31:00,1
2019-06-26 02:33:00,1
2019-06-26 02:34:00,1
2019-06-26 02:35:00,1
2019-06-26 02:36:00,1
2019-06-26 02:37:00,1
2019-06-26 02:38:00,1
2019-06-26 02:40:00,1
2019-06-26 02:41:00,2
2019-06-26 02:42:00,1
2019-06-26 02:43:00,2
2019-06-26 02:44:00,1
2019-06-26 02:45:00,1
2019-06-26 02:46:00,1
2019-06-26 02:47:00,1
2019-06-26 02:48:00,1
2019-06-26 02:50:00,1
2019-06-26 02:51:00,1
2019-06-26 02:52:00,1
2019-06-26 02:54:00,1
2019-06-26 02:55:00,1
2019-06-26 02:56:00,1
2019-06-26 02:58:00,1
2019-06-26 03:01:00,1
2019-06-26 03:05:00,1
2019-06-26 03:06:00,1
2019-06-26 03:09:00,1
2019-06-26 03:10:00,1
2019-06-26 03:12:00,1
2019-06-26 03:15:00,1
2019-06-26 03:17:00,1
2019-06-26 03:18:00,1
2019-06-26 03:20:00,1
2019-06-26 03:22:00,1
2019-06-26 03:25:00,1
2019-06-26 03:27:00,1
2019-06-26 03:30:00,1
2019-06-26 03:32:00,2
2019-06-26 03:33:00,1
2019-06-26 03:34:00,1
2019-06-26 03:36:00,1
2019-06-26 03:38:00,1
2019-06-26 03:40:00,1
2019-06-26 03:41:00,1
2019-06-26 03:43:00,1
2019-06-26 03:45:00,1
2019-06-26 03:46:00,1
2019-06-26 03:47:00,1
2019-06-26 03:49:00,1
2019-06-26 03:52:00,1
2019-06-26 03:54:00,1
2019-06-26 03:56:00,1
2019-06-26 03:57:00,1
2019-06-26 03:58:00,1
2019-06-26 03:59:00,1
2019-06-26 04:00:00,1
2019-06-26 04:01:00,2
2019-06-26 04:03:00,1
2019-06-26 04:04:00,1
2019-06-26 04:05:00,1
2019-06-26 04:06:00,1
2019-06-26 04:07:00,1
2019-06-26 04:08:00,1
2019-06-26 04:09:00,1
2019-06-26 04:10:00,1
2019-06-26 04:11:00,1
2019-06-26 04:12:00,1
2019-06-26 04:13:00,1
2019-06-26 04:14:00,1
2019-06-26 04:15:00,2
2019-06-26 04:16:00,1
2019-06-26 04:17:00,1
2019-06-26 04:18:00,1
2019-06-26 04:19:00,1
2019-06-26 04:20:00,1
2019-06-26 04:21:00,1
2019-06-26 04:23:00,1
2019-06-26 04:25:00,1
2019-06-26 04:26:00,1
2019-06-26 04:27:00,1
2019-06-26 04:30:00,1
2019-06-26 04:32:00,1
2019-06-26 04:33:00,1
2019-06-26 04:34:00,1
2019-06-26 04:35:00,1
2019-06-26 04:37:00,1
2019-06-26 04:38:00,1
2019-06-26 04:39:00,1
2019-06-26 04:40:00,1
2019-06-26 04:41:00,1
2019-06-26 04:42:00,1
2019-06-26 04:43:00,1
2019-06-26 04:45:00,1
2019-06-26 04:46:00,1
2019-06-26 04:47:00,1
2019-06-26 04:48:00,1
2019-06-26 04:50:00,2
2019-06-26 04:51:00,1
2019-06-26 04:52:00,2
2019-06-26 04:53:00,1
2019-06-26 04:54:00,1
2019-06-26 04:55:00,1
2019-06-26 04:56:00,1
2019-06-26 04:57:00,1
2019-06-26 04:59:00,1
2019-06-26 05:01:00,1
2019-06-26 05:03:00,1
2019-06-26 05:05:00,2
2019-06-26 05:07:00,1
2019-06-26 05:08:00,1
2019-06-26 05:10:00,1
2019-06-26 05:11:00,1
2019-06-26 05:13:00,1
2019-06-26 05:14:00,1
2019-06-26 05:15:00,1
2019-06-26 05:17:00,1
2019-06-26 05:19:00,1
2019-06-26 05:20:00,1
2019-06-26 05:22:00,1
2019-06-26 05:25:00,1
2019-06-26 05:26:00,1
2019-06-26 05:28:00,1
2019-06-26 05:31:00,1
2019-06-26 05:33:00,1
2019-06-26 05:36:00,1
2019-06-26 05:38:00,1
2019-06-26 05:40:00,1
2019-06-26 05:42:00,1
2019-06-26 05:44:00,1
2019-06-26 05:46:00,1
2019-06-26 05:48:00,1
2019-06-26 05:50:00,1
2019-06-26 05:51:00,1
2019-06-26 05:53:00,1
2019-06-26 05:54:00,1
2019-06-26 05:55:00,1
2019-06-26 05:56:00,1
2019-06-26 05:58:00,1
2019-06-26 05:59:00,1
2019-06-26 06:00:00,1
2019-06-26 06:01:00,1
2019-06-26 06:02:00,1
2019-06-26 06:03:00,1
2019-06-26 06:04:00,1
2019-06-26 06:05:00,1
2019-06-26 06:07:00,1
2019-06-26 06:08:00,1
2019-06-26 06:10:00,1
2019-06-26 06:11:00,1
2019-06-26 06:12:00,1
2019-06-26 06:13:00,1
2019-06-26 06:15:00,2
2019-06-26 06:17:00,2
2019-06-26 06:19:00,1
2019-06-26 06:21:00,1
2019-06-26 06:22:00,1
2019-06-26 06:23:00,1
2019-06-26 18:22:00,1
2019-06-26 18:24:00,1
2019-06-26 18:26:00,1
2019-06-26 18:29:00,1
2019-06-26 18:30:00,1
2019-06-26 18:32:00,1
2019-06-26 18:33:00,1
2019-06-26 18:34:00,1
2019-06-26 18:35:00,1
2019-06-26 18:37:00,2
2019-06-26 18:39:00,1
2019-06-26 18:40:00,1
2019-06-26 18:41:00,1
2019-06-26 18:42:00,1
2019-06-26 18:43:00,1
2019-06-26 18:44:00,1
2019-06-26 18:45:00,1
2019-06-26 18:47:00,1
2019-06-26 18:48:00,1
2019-06-26 18:50:00,1
2019-06-26 18:51:00,1
2019-06-26 18:52:00,1
2019-06-26 18:55:00,2
2019-06-26 18:56:00,2
2019-06-26 18:57:00,1
2019-06-26 18:59:00,2
2019-06-26 19:00:00,1
2019-06-26 19:01:00,1
2019-06-26 19:02:00,2
2019-06-26 19:03:00,2
2019-06-26 19:04:00,2
2019-06-26 19:05:00,1
2019-06-26 19:06:00,1
2019-06-26 19:07:00,1
2019-06-26 19:08:00,1
2019-06-26 19:10:00,1
2019-06-26 19:12:00,1
2019-06-26 19:13:00,1
2019-06-26 19:14:00,1
2019-06-26 19:15:00,1
2019-06-26 19:16:00,1
2019-06-26 19:18:00,1
2019-06-26 19:20:00,1
2019-06-26 19:22:00,1
2019-06-26 19:24:00,2
2019-06-26 19:25:00,3
2019-06-26 19:26:00,3
2019-06-26 19:27:00,2
2019-06-26 19:28:00,2
2019-06-26 19:29:00,2
2019-06-26 19:30:00,2
2019-06-26 19:31:00,1
2019-06-26 19:33:00,1
2019-06-26 19:34:00,1
2019-06-26 19:35:00,1
2019-06-26 19:36:00,1
2019-06-26 19:37:00,1
2019-06-26 19:38:00,1
2019-06-26 19:39:00,1
2019-06-26 19:40:00,1
2019-06-26 19:41:00,1
2019-06-26 19:42:00,1
2019-06-26 19:43:00,1
2019-06-26 19:44:00,1
2019-06-26 19:45:00,1
2019-06-26 19:47:00,1
2019-06-26 19:48:00,1
2019-06-26 19:50:00,1
2019-06-26 19:51:00,1
2019-06-26 19:53:00,1
2019-06-26 19:58:00,1
2019-06-26 20:06:00,1
2019-06-26 20:07:00,3
2019-06-26 20:08:00,1
2019-06-26 20:09:00,1
2019-06-26 20:10:00,1
