1803,"SELECT TOP # P.ra, P.dec, P.type, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-06-26 21:11:00,1
2019-06-26 21:12:00,1
2019-06-26 23:09:00,55
2019-06-26 23:10:00,195
2019-06-26 23:11:00,199
2019-06-26 23:12:00,196
2019-06-26 23:13:00,198
2019-06-26 23:14:00,196
2019-06-26 23:15:00,195
2019-06-26 23:16:00,178
2019-06-26 23:17:00,168
2019-06-26 23:18:00,169
2019-06-26 23:19:00,52
