16,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd from PhotoObj as p JOIN dbo.fGetObjFromRectEq(#,#,#,#) AS R ON P.objID=R.objID"
2019-06-26 02:13:00,1
2019-06-26 18:18:00,1
2019-06-26 18:19:00,1
2019-06-26 18:21:00,1
2019-06-26 18:25:00,1
2019-06-26 18:26:00,1
2019-06-26 18:32:00,1
2019-06-26 18:39:00,2
2019-06-26 18:44:00,1
2019-06-26 18:53:00,1
2019-06-26 19:10:00,2
2019-06-26 19:18:00,1
2019-06-26 19:54:00,1
2019-06-26 21:43:00,1
