108,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-26 14:24:00,1
2019-06-26 14:26:00,2
2019-06-26 14:27:00,2
2019-06-26 14:29:00,2
2019-06-26 14:30:00,2
2019-06-26 14:35:00,3
2019-06-26 14:36:00,1
2019-06-26 14:37:00,9
2019-06-26 14:38:00,5
2019-06-26 14:43:00,27
2019-06-26 14:44:00,11
2019-06-26 15:03:00,14
2019-06-26 15:04:00,8
2019-06-26 15:05:00,9
2019-06-26 15:58:00,5
2019-06-26 15:59:00,7
