31460,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID WHERE G.modelMag_r < # and G.modelMag_g < #"
2019-06-26 07:04:00,44
2019-06-26 07:05:00,23
2019-06-26 07:06:00,45
2019-06-26 07:07:00,41
2019-06-26 07:08:00,44
2019-06-26 07:09:00,44
2019-06-26 07:10:00,41
2019-06-26 07:11:00,44
2019-06-26 07:12:00,42
2019-06-26 07:13:00,44
2019-06-26 07:14:00,44
2019-06-26 07:15:00,43
2019-06-26 07:16:00,44
2019-06-26 07:17:00,42
2019-06-26 07:18:00,44
2019-06-26 07:19:00,41
2019-06-26 07:20:00,42
2019-06-26 07:21:00,43
2019-06-26 07:22:00,43
2019-06-26 07:23:00,43
2019-06-26 07:24:00,43
2019-06-26 07:25:00,43
2019-06-26 07:26:00,42
2019-06-26 07:27:00,40
2019-06-26 07:28:00,41
2019-06-26 07:29:00,42
2019-06-26 07:30:00,41
2019-06-26 07:31:00,42
2019-06-26 07:32:00,39
2019-06-26 07:33:00,43
2019-06-26 07:34:00,42
2019-06-26 07:35:00,40
2019-06-26 07:36:00,40
2019-06-26 07:37:00,40
2019-06-26 07:38:00,43
2019-06-26 07:39:00,42
2019-06-26 07:40:00,42
2019-06-26 07:41:00,42
2019-06-26 07:42:00,41
2019-06-26 07:43:00,44
2019-06-26 07:44:00,41
2019-06-26 07:45:00,43
2019-06-26 07:46:00,43
2019-06-26 07:47:00,40
2019-06-26 07:48:00,42
2019-06-26 07:49:00,42
2019-06-26 07:50:00,42
2019-06-26 07:51:00,42
2019-06-26 07:52:00,40
2019-06-26 07:53:00,41
2019-06-26 07:54:00,42
2019-06-26 07:55:00,41
2019-06-26 07:56:00,41
2019-06-26 07:57:00,36
2019-06-26 07:58:00,41
2019-06-26 07:59:00,41
2019-06-26 08:00:00,42
2019-06-26 08:01:00,43
2019-06-26 08:02:00,40
2019-06-26 08:03:00,41
2019-06-26 08:04:00,42
2019-06-26 08:05:00,42
2019-06-26 08:06:00,41
2019-06-26 08:07:00,37
2019-06-26 08:08:00,41
2019-06-26 08:09:00,40
2019-06-26 08:10:00,41
2019-06-26 08:11:00,41
2019-06-26 08:12:00,41
2019-06-26 08:13:00,42
2019-06-26 08:14:00,41
2019-06-26 08:15:00,41
