123,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_r FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-26 14:26:00,2
2019-06-26 14:29:00,2
2019-06-26 14:35:00,1
2019-06-26 14:36:00,2
2019-06-26 14:37:00,8
2019-06-26 14:38:00,4
2019-06-26 14:46:00,17
2019-06-26 14:47:00,26
2019-06-26 14:48:00,9
2019-06-26 14:49:00,3
2019-06-26 14:50:00,22
2019-06-26 14:51:00,15
2019-06-26 15:58:00,5
2019-06-26 15:59:00,6
2019-06-26 16:00:00,1
