26,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-06-26 17:23:00,1
2019-06-26 17:24:00,1
2019-06-26 17:38:00,1
2019-06-26 17:49:00,1
2019-06-26 18:11:00,1
2019-06-26 18:22:00,1
2019-06-26 18:30:00,1
2019-06-26 18:34:00,1
2019-06-26 18:38:00,1
2019-06-26 18:47:00,1
2019-06-26 18:53:00,1
2019-06-26 19:18:00,1
2019-06-26 19:21:00,1
2019-06-26 19:22:00,1
2019-06-26 20:21:00,1
2019-06-26 20:32:00,1
2019-06-26 21:39:00,1
2019-06-26 21:45:00,1
2019-06-26 22:03:00,1
2019-06-26 22:08:00,1
2019-06-26 22:13:00,1
2019-06-26 22:17:00,1
2019-06-26 23:33:00,1
2019-06-26 23:41:00,1
2019-06-26 23:53:00,1
2019-06-26 23:59:00,1
