21,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-02-20 06:13:00,1
2019-02-20 06:33:00,1
2019-02-20 06:47:00,1
2019-02-20 06:53:00,1
2019-02-20 06:54:00,1
2019-02-20 07:05:00,2
2019-02-20 07:06:00,2
2019-02-20 07:08:00,1
2019-02-20 07:12:00,1
2019-02-20 11:19:00,1
2019-02-20 13:18:00,1
2019-02-20 13:19:00,1
2019-02-20 16:29:00,1
2019-02-20 18:52:00,1
2019-02-20 19:04:00,2
2019-02-20 19:31:00,1
2019-02-20 19:51:00,1
2019-02-20 21:13:00,1
