22,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, p.dered_g, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger   FROM Galaxy as p    JOIN ZooNoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean=# and zns.nvote >= # and zns.p_cw > #"
2019-02-20 12:36:00,1
2019-02-20 14:04:00,1
2019-02-20 14:16:00,1
2019-02-20 14:20:00,1
2019-02-20 14:25:00,1
2019-02-20 14:26:00,1
2019-02-20 14:27:00,1
2019-02-20 16:56:00,1
2019-02-20 17:58:00,1
2019-02-20 18:24:00,2
2019-02-20 18:25:00,2
2019-02-20 18:26:00,1
2019-02-20 18:27:00,2
2019-02-20 18:28:00,1
2019-02-20 18:34:00,1
2019-02-20 18:39:00,1
2019-02-20 18:47:00,1
2019-02-20 18:57:00,1
2019-02-20 18:59:00,1
