2635,SELECT DISTINCT p.* FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-02-20 00:44:00,15
2019-02-20 00:45:00,24
2019-02-20 00:46:00,28
2019-02-20 00:47:00,28
2019-02-20 00:48:00,29
2019-02-20 00:49:00,32
2019-02-20 00:50:00,33
2019-02-20 00:51:00,34
2019-02-20 00:52:00,30
2019-02-20 00:53:00,24
2019-02-20 00:54:00,25
2019-02-20 00:55:00,27
2019-02-20 00:56:00,30
2019-02-20 00:57:00,27
2019-02-20 00:58:00,29
2019-02-20 00:59:00,28
2019-02-20 01:00:00,31
2019-02-20 01:01:00,34
2019-02-20 01:02:00,32
2019-02-20 01:03:00,33
2019-02-20 01:04:00,31
2019-02-20 01:05:00,33
2019-02-20 01:06:00,35
2019-02-20 01:07:00,30
2019-02-20 01:08:00,28
2019-02-20 01:09:00,23
2019-02-20 01:10:00,27
2019-02-20 01:11:00,26
2019-02-20 01:12:00,31
2019-02-20 01:13:00,28
2019-02-20 01:14:00,32
2019-02-20 01:15:00,28
2019-02-20 01:16:00,31
2019-02-20 01:17:00,22
2019-02-20 01:18:00,25
2019-02-20 01:19:00,26
2019-02-20 01:20:00,27
2019-02-20 01:21:00,22
2019-02-20 01:22:00,21
2019-02-20 01:23:00,21
2019-02-20 01:24:00,22
2019-02-20 01:25:00,20
2019-02-20 01:26:00,24
2019-02-20 01:27:00,23
2019-02-20 01:28:00,25
2019-02-20 01:29:00,22
2019-02-20 01:30:00,23
2019-02-20 01:31:00,27
2019-02-20 01:32:00,24
2019-02-20 01:33:00,24
2019-02-20 01:34:00,24
2019-02-20 01:35:00,21
2019-02-20 01:36:00,24
2019-02-20 01:37:00,25
2019-02-20 01:38:00,25
2019-02-20 01:39:00,8
2019-02-20 01:40:00,3
2019-02-20 01:41:00,6
2019-02-20 01:42:00,4
2019-02-20 01:43:00,3
2019-02-20 01:44:00,4
2019-02-20 01:45:00,7
2019-02-20 01:46:00,6
2019-02-20 01:47:00,4
2019-02-20 01:48:00,9
2019-02-20 01:49:00,12
2019-02-20 01:50:00,28
2019-02-20 01:51:00,22
2019-02-20 01:52:00,24
2019-02-20 01:53:00,22
2019-02-20 01:54:00,19
2019-02-20 01:55:00,21
2019-02-20 01:56:00,18
2019-02-20 01:57:00,22
2019-02-20 01:58:00,23
2019-02-20 01:59:00,27
2019-02-20 02:00:00,22
2019-02-20 02:01:00,25
2019-02-20 02:02:00,26
2019-02-20 02:03:00,23
2019-02-20 02:04:00,24
2019-02-20 02:05:00,27
2019-02-20 02:06:00,27
2019-02-20 02:07:00,29
2019-02-20 02:08:00,28
2019-02-20 02:09:00,25
2019-02-20 02:10:00,22
2019-02-20 02:11:00,27
2019-02-20 02:12:00,33
2019-02-20 02:13:00,36
2019-02-20 02:14:00,32
2019-02-20 02:15:00,29
2019-02-20 02:16:00,30
2019-02-20 02:17:00,33
2019-02-20 02:18:00,35
2019-02-20 02:19:00,34
2019-02-20 02:20:00,32
2019-02-20 02:21:00,32
2019-02-20 02:22:00,28
2019-02-20 02:23:00,25
2019-02-20 02:24:00,28
2019-02-20 02:25:00,24
2019-02-20 02:26:00,20
2019-02-20 02:27:00,28
2019-02-20 02:28:00,28
2019-02-20 02:29:00,25
2019-02-20 02:30:00,25
2019-02-20 02:31:00,8
