144,"SELECT  p.objId,  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-02-20 10:42:00,1
2019-02-20 10:43:00,2
2019-02-20 10:44:00,4
2019-02-20 10:45:00,1
2019-02-20 10:46:00,2
2019-02-20 10:47:00,3
2019-02-20 10:48:00,4
2019-02-20 10:49:00,3
2019-02-20 10:50:00,3
2019-02-20 10:51:00,4
2019-02-20 10:52:00,7
2019-02-20 13:11:00,8
2019-02-20 13:12:00,10
2019-02-20 13:13:00,9
2019-02-20 13:14:00,10
2019-02-20 13:15:00,9
2019-02-20 13:16:00,6
2019-02-20 18:17:00,2
2019-02-20 18:20:00,1
2019-02-20 18:24:00,1
2019-02-20 18:25:00,1
2019-02-20 18:28:00,6
2019-02-20 18:29:00,10
2019-02-20 18:30:00,10
2019-02-20 18:31:00,10
2019-02-20 18:32:00,10
2019-02-20 18:33:00,7
