14093,"SELECT objid, cModelFlux_u, cModelFluxIvar_u, cModelFlux_g, cModelFluxIvar_g, cModelFlux_r, cModelFluxIvar_r, cModelFlux_i, cModelFluxIvar_i, cModelFlux_z, cModelFluxIvar_z FROM PhotoObj WHERE objid=#"
2019-02-20 00:00:00,29
2019-02-20 00:01:00,28
2019-02-20 00:02:00,28
2019-02-20 00:03:00,27
2019-02-20 00:04:00,28
2019-02-20 00:05:00,28
2019-02-20 00:06:00,25
2019-02-20 00:07:00,28
2019-02-20 00:08:00,28
2019-02-20 00:09:00,27
2019-02-20 00:10:00,28
2019-02-20 00:11:00,28
2019-02-20 00:12:00,30
2019-02-20 00:13:00,28
2019-02-20 00:14:00,28
2019-02-20 00:15:00,28
2019-02-20 00:16:00,27
2019-02-20 00:17:00,28
2019-02-20 00:18:00,29
2019-02-20 00:19:00,26
2019-02-20 00:20:00,32
2019-02-20 00:21:00,26
2019-02-20 00:22:00,29
2019-02-20 00:23:00,28
2019-02-20 00:24:00,26
2019-02-20 00:25:00,27
2019-02-20 00:26:00,27
2019-02-20 00:27:00,25
2019-02-20 00:28:00,28
2019-02-20 00:29:00,27
2019-02-20 00:30:00,28
2019-02-20 00:31:00,28
2019-02-20 00:32:00,29
2019-02-20 00:33:00,25
2019-02-20 00:34:00,28
2019-02-20 00:35:00,27
2019-02-20 00:36:00,29
2019-02-20 00:37:00,28
2019-02-20 00:38:00,28
2019-02-20 00:39:00,30
2019-02-20 00:40:00,25
2019-02-20 00:41:00,28
2019-02-20 00:42:00,27
2019-02-20 00:43:00,30
2019-02-20 00:44:00,28
2019-02-20 00:45:00,28
2019-02-20 00:46:00,29
2019-02-20 00:47:00,25
2019-02-20 00:48:00,29
2019-02-20 00:49:00,28
2019-02-20 00:50:00,27
2019-02-20 00:51:00,28
2019-02-20 00:52:00,29
2019-02-20 00:53:00,28
2019-02-20 00:54:00,29
2019-02-20 00:55:00,28
2019-02-20 00:56:00,26
2019-02-20 00:57:00,27
2019-02-20 00:58:00,30
2019-02-20 00:59:00,27
2019-02-20 01:00:00,27
2019-02-20 01:01:00,30
2019-02-20 01:02:00,29
2019-02-20 01:03:00,25
2019-02-20 01:04:00,28
2019-02-20 01:05:00,26
2019-02-20 01:06:00,27
2019-02-20 01:07:00,29
2019-02-20 01:08:00,29
2019-02-20 01:09:00,29
2019-02-20 01:10:00,30
2019-02-20 01:11:00,28
2019-02-20 01:12:00,28
2019-02-20 01:13:00,27
2019-02-20 01:14:00,28
2019-02-20 01:15:00,26
2019-02-20 01:16:00,28
2019-02-20 01:17:00,30
2019-02-20 01:18:00,27
2019-02-20 01:19:00,29
2019-02-20 01:20:00,27
2019-02-20 01:21:00,31
2019-02-20 01:22:00,29
2019-02-20 01:23:00,27
2019-02-20 01:24:00,26
2019-02-20 01:25:00,29
2019-02-20 01:26:00,30
2019-02-20 01:27:00,27
2019-02-20 01:28:00,29
2019-02-20 01:29:00,24
2019-02-20 01:30:00,30
2019-02-20 01:31:00,29
2019-02-20 01:32:00,29
2019-02-20 01:33:00,27
2019-02-20 01:34:00,28
2019-02-20 01:35:00,29
2019-02-20 01:36:00,29
2019-02-20 01:37:00,26
2019-02-20 01:38:00,27
2019-02-20 01:39:00,27
2019-02-20 01:40:00,27
2019-02-20 01:41:00,27
2019-02-20 01:42:00,27
2019-02-20 01:43:00,24
2019-02-20 01:44:00,26
