19,"SELECT  za.specObjID, za.bestObjID, za.class, za.subClass, za.z, za.zErr, po.objID, po.type, po.flags, po.ra, po.dec, po.petroMag_r - po.extinction_r,  zp.z AS zphot, zp.zErr AS dzphot, zi.e_bv_sfd, zi.primtarget, zi.sectarget, zi.targettype, zi.spectrotype, zi.subclass FROM  SpecObjAll za JOIN  PhotoObjAll po ON (po.objID = za.bestObjID)  JOIN  Photoz zp ON (zp.objID = za.bestObjID) JOIN  galSpecInfo zi ON (zi.SpecObjID = za.specObjID)  WHERE  za.z > # and za.zWarning=# AND za.targetType = &&& AND za.survey = &&& AND za.class = &&& AND zi.primtarget >= # AND po.clean = # AND po.insideMask = #  AND po.petroMag_r - po.extinction_r <= #"
2019-02-20 04:36:00,1
2019-02-20 04:37:00,2
2019-02-20 04:40:00,1
2019-02-20 04:50:00,1
2019-02-20 04:57:00,1
2019-02-20 05:01:00,1
2019-02-20 05:03:00,1
2019-02-20 05:04:00,1
2019-02-20 06:27:00,1
2019-02-20 06:28:00,1
2019-02-20 06:30:00,1
2019-02-20 07:37:00,1
2019-02-20 08:42:00,1
2019-02-20 10:55:00,1
2019-02-20 16:32:00,2
2019-02-20 19:15:00,2
