2,"select ra,dec,dered_u into mydb.A2#_u from photoprimary where err_r > # and err_z > # and ra >= # and ra<# and dec >=# and dec<=# and ((flags_u & #) != #) and ((flags_u & #) = #) and ((flags_u & #) = #) AND (((flags_u & #) = #) or (flags_u & #) = #)"
2019-02-20 01:50:00,1
2019-02-20 01:55:00,1
