8,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.g, p.r   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z># AND s.z<# AND p.g/p.err_g># AND p.r/p.err_r>#."
2019-02-20 18:38:00,4
2019-02-20 18:39:00,3
2019-02-20 18:40:00,1
