18,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.g, p.r   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND #   AND p.g BETWEEN # AND #  AND p.petror9#_r > #"
2019-02-20 11:11:00,1
2019-02-20 11:22:00,1
2019-02-20 11:55:00,1
2019-02-20 12:00:00,1
2019-02-20 12:22:00,1
2019-02-20 12:38:00,1
2019-02-20 13:55:00,1
2019-02-20 14:32:00,1
2019-02-20 15:25:00,1
2019-02-20 16:55:00,1
2019-02-20 17:24:00,1
2019-02-20 17:36:00,2
2019-02-20 18:16:00,1
2019-02-20 18:22:00,2
2019-02-20 18:25:00,1
2019-02-20 18:56:00,1
