17,"select top # objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z,z from SpecPhoto where class=&&& and z BETWEEN # and # and zErr BETWEEN # and #"
2019-02-20 17:14:00,1
2019-02-20 17:26:00,1
2019-02-20 17:32:00,1
2019-02-20 17:47:00,1
2019-02-20 17:55:00,1
2019-02-20 17:57:00,1
2019-02-20 17:59:00,1
2019-02-20 18:00:00,2
2019-02-20 18:01:00,1
2019-02-20 18:05:00,1
2019-02-20 23:32:00,1
2019-02-20 23:33:00,1
2019-02-20 23:36:00,1
2019-02-20 23:37:00,1
2019-02-20 23:38:00,1
2019-02-20 23:39:00,1
