205,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-20 05:31:00,6
2019-02-20 06:01:00,3
2019-02-20 07:02:00,4
2019-02-20 08:02:00,4
2019-02-20 08:31:00,1
2019-02-20 09:01:00,1
2019-02-20 10:02:00,3
2019-02-20 14:33:00,5
2019-02-20 15:02:00,2
2019-02-20 15:03:00,9
2019-02-20 17:03:00,11
2019-02-20 17:04:00,23
2019-02-20 17:33:00,3
2019-02-20 19:32:00,13
2019-02-20 19:33:00,28
2019-02-20 19:34:00,9
2019-02-20 20:02:00,4
2019-02-20 22:35:00,7
2019-02-20 22:36:00,10
2019-02-20 22:37:00,18
2019-02-20 22:38:00,17
2019-02-20 22:39:00,16
2019-02-20 22:40:00,8
